NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20801021001/FPMA","18-Mar-23 13:30:41","18-Mar-23 14:30:03","3563.00","  20.61","  0.58","  635"," -409"
"nu20801021001/FPMB","18-Mar-23 13:30:41","18-Mar-23 14:30:03","3563.00","  17.09","  0.48","  660"," -379"
"nu20801022001/FPMA","18-Mar-23 15:07:09","18-Mar-23 16:06:31","3130.00","  15.40","  0.49","  625"," -414"
"nu20801022001/FPMB","18-Mar-23 15:07:09","18-Mar-23 16:06:31","3133.00","  13.22","  0.42","  650"," -387"
"nu20801023001/FPMA","18-Mar-23 16:43:36","18-Mar-23 17:42:59","2908.00","  17.75","  0.61","  625"," -414"
"nu20801023001/FPMB","18-Mar-23 16:43:36","18-Mar-23 17:42:58","2910.00","  14.99","  0.52","  650"," -387"
"nu20801024001/FPMA","18-Mar-23 18:20:04","18-Mar-23 19:19:26","2799.00","  10.75","  0.38","  628"," -411"
"nu20801024001/FPMB","18-Mar-23 18:20:04","18-Mar-23 19:19:26","2803.00","   9.43","  0.34","  655"," -384"
"nu20801025001/FPMA","18-Mar-23 19:56:29","18-Mar-23 20:37:10","2441.00","  27.48","  1.13","  495","  514"
"nu20801025001/FPMB","18-Mar-23 19:56:29","18-Mar-23 20:37:10","2441.00","  24.66","  1.01","  517","  542"
"nu20801026001/FPMA","18-Mar-23 21:41:51","18-Mar-23 22:23:23","2492.75","  14.29","  0.57","  628"," -411"
"nu20801026001/FPMB","18-Mar-23 21:41:51","18-Mar-23 22:23:28","2497.75","  12.52","  0.50","  650"," -384"
"nu20801027001/FPMA","18-Mar-23 23:09:26","19-Mar-23 00:07:28","3483.00","  16.76","  0.48","  620"," -414"
"nu20801027001/FPMB","18-Mar-23 23:09:26","19-Mar-23 00:07:32","3487.00","  14.85","  0.43","  645"," -389"
