NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu80710201001/FPMA","20-Jul-21 00:24:06","20-Jul-21 01:16:54","3156.00","   9.95","  0.32","-1149"," -320"
"nu80710201001/FPMB","20-Jul-21 00:24:06","20-Jul-21 01:16:54","3156.00","   9.69","  0.31","-1127"," -293"
"nu80710202001/FPMA","20-Jul-21 02:52:05","20-Jul-21 03:01:22"," 558.00","   4.62","  0.83","-1077"," -308"
"nu80710202001/FPMB","20-Jul-21 02:52:05","20-Jul-21 03:01:22"," 558.00","   4.48","  0.80","-1058"," -281"
"nu80710203001/FPMA","20-Jul-21 03:37:21","20-Jul-21 04:38:00","1188.00","  10.34","  0.87","-1151"," -325"
"nu80710203001/FPMB","20-Jul-21 03:37:21","20-Jul-21 04:38:00","1188.00","   9.40","  0.79","-1124"," -293"
"nu80710204001/FPMA","20-Jul-21 05:13:59","20-Jul-21 06:14:38","1550.00","  11.81","  0.76","-1144"," -315"
"nu80710204001/FPMB","20-Jul-21 05:13:59","20-Jul-21 06:14:38","1550.00","  10.93","  0.71","-1117"," -291"
"nu80710205001/FPMA","20-Jul-21 06:50:37","20-Jul-21 07:51:16","3631.00","  36.35","  1.00","-1146"," -318"
"nu80710205001/FPMB","20-Jul-21 06:50:37","20-Jul-21 07:51:16","3631.00","  32.14","  0.89","-1122"," -293"
"nu80710206001/FPMA","20-Jul-21 08:27:14","20-Jul-21 09:27:55","2986.00","  22.89","  0.77","-1141"," -318"
"nu80710206001/FPMB","20-Jul-21 08:27:14","20-Jul-21 09:27:54","2986.00","  20.18","  0.68","-1117"," -288"
"nu80710207001/FPMA","20-Jul-21 10:03:52","20-Jul-21 11:04:32","3639.00","  29.32","  0.81","-1144"," -320"
"nu80710207001/FPMB","20-Jul-21 10:03:52","20-Jul-21 11:04:32","3639.00","  25.72","  0.71","-1122"," -291"
"nu80710208001/FPMA","20-Jul-21 11:40:30","20-Jul-21 12:41:10","3280.00","  30.77","  0.94","-1146"," -306"
"nu80710208001/FPMB","20-Jul-21 11:40:30","20-Jul-21 12:41:10","3281.00","  26.81","  0.82","-1119"," -274"
"nu80710209001/FPMA","20-Jul-21 13:17:08","20-Jul-21 14:17:48","3060.00","   5.87","  0.19","-1144"," -320"
"nu80710209001/FPMB","20-Jul-21 13:17:08","20-Jul-21 14:17:48","3061.00","   5.79","  0.19","-1114"," -293"
