NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20801011001/FPMA","09-Dec-22 23:38:44","10-Dec-22 00:39:49","3665.00","  13.55","  0.37","  195","  396"
"nu20801011001/FPMB","09-Dec-22 23:38:44","10-Dec-22 00:39:49","3665.00","  14.15","  0.39","  158","  404"
"nu20801012001/FPMA","10-Dec-22 01:15:16","10-Dec-22 02:16:21","3665.00","   4.80","  0.13","  261","  387"
"nu20801012001/FPMB","10-Dec-22 01:15:16","10-Dec-22 02:16:21","3665.00","   4.32","  0.12","  222","  404"
"nu20801013001/FPMA","11-Dec-22 17:28:38","11-Dec-22 18:29:42","3665.00","  11.07","  0.30","  652","  424"
"nu20801013001/FPMB","11-Dec-22 17:28:38","11-Dec-22 18:29:42","3665.00","  10.31","  0.28","  620","  453"
"nu20801014001/FPMA","11-Dec-22 19:05:11","11-Dec-22 20:06:14","3312.00","  10.70","  0.32","  650","  416"
"nu20801014001/FPMB","11-Dec-22 19:05:11","11-Dec-22 20:06:15","3313.00","  10.13","  0.31","  620","  443"
"nu20801015001/FPMA","11-Dec-22 20:41:43","11-Dec-22 21:34:26","3134.00","   7.59","  0.24","  637","  426"
"nu20801015001/FPMB","11-Dec-22 20:41:43","11-Dec-22 21:34:28","3136.00","   7.18","  0.23","  608","  448"
"nu20801016001/FPMA","11-Dec-22 22:18:12","11-Dec-22 23:15:45","3454.00","  24.58","  0.71"," 1085"," -229"
"nu20801016001/FPMB","11-Dec-22 22:18:12","11-Dec-22 23:15:48","3457.00","  24.69","  0.71"," 1048"," -205"
"nu20801017001/FPMA","11-Dec-22 23:54:44","12-Dec-22 00:55:48","3662.00","  11.54","  0.32"," 1087"," -232"
"nu20801017001/FPMB","11-Dec-22 23:54:44","12-Dec-22 00:55:48","3662.00","  11.21","  0.31"," 1055"," -202"
