NS ID,Start Time,End Time,On Time [s],Duration [s],Livetime [%],X [S/C],Y [S/C]
"nu20201001001","26-Jul-16 19:22:58","26-Jul-16 20:23:26",3629.00,94.9832,2.61734,1077.88,99.5533
"nu20201002001","26-Jul-16 20:59:40","26-Jul-16 21:55:32",3022.00,264.893,8.76548,1077.88,99.5533
"nu20201003001","26-Jul-16 22:52:43","26-Jul-16 23:15:59",1393.99,67.8721,4.86891,1092.63,106.928
"nu20201004001","27-Jul-16 00:13:04","27-Jul-16 01:13:31",3628.00,140.978,3.88583,1082.80,97.0952
"nu20201005001","26-Jul-16 23:17:12","26-Jul-16 23:25:59",528.000,162.570,30.7898,28.2682,-38.1007
"nu20201006001","26-Jul-16 23:27:04","26-Jul-16 23:36:57",594.000,31.5489,5.31126,-819.779,-352.738
"nu20201007001","26-Jul-16 18:38:49","26-Jul-16 18:44:49",0.00000,0.00000,0.00000,0.00000,0.00000
