NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu90401201001/FPMA","12-Jan-19 16:34:22","12-Jan-19 17:34:40","2854.00","2594.26"," 90.90","  507","  217"
"nu90401201001/FPMB","12-Jan-19 16:34:22","12-Jan-19 17:34:39","2859.00","2554.25"," 89.34","  542","  254"
"nu90401202001/FPMA","12-Jan-19 18:11:01","12-Jan-19 19:11:19","2747.00","2451.93"," 89.26","  618","  217"
"nu90401202001/FPMB","12-Jan-19 18:11:01","12-Jan-19 19:11:19","2751.00","2381.86"," 86.58","  662","  251"
"nu90411101001/FPMA","12-Jan-19 19:47:48","12-Jan-19 19:47:55","   8.00","   7.43"," 92.87","-1129"," 1178"
"nu90411101001/FPMB","12-Jan-19 19:47:48","12-Jan-19 19:47:52","   8.00","   7.37"," 92.17"," -915"," 1009"
"nu90411102001/FPMA","12-Jan-19 19:48:41","12-Jan-19 19:49:43","  63.00","  57.69"," 91.57"," -549","  935"
"nu90411102001/FPMB","12-Jan-19 19:48:41","12-Jan-19 19:49:43","  63.00","  57.26"," 90.89"," -524","  910"
"nu90411103001/FPMA","12-Jan-19 19:50:29","12-Jan-19 19:51:29","  63.00","  58.20"," 92.39","  -30","  913"
"nu90411103001/FPMB","12-Jan-19 19:50:30","12-Jan-19 19:51:31","  63.00","  57.68"," 91.56","   43"," 1011"
"nu90411104001/FPMA","12-Jan-19 19:52:18","12-Jan-19 19:53:19","  63.00","  57.88"," 91.88","  514","  947"
"nu90411104001/FPMB","12-Jan-19 19:52:19","12-Jan-19 19:53:19","  63.00","  56.95"," 90.40","  542","  947"
"nu90411105001/FPMA","12-Jan-19 19:54:07","12-Jan-19 19:55:07","  63.00","  56.87"," 90.27","  812","  918"
"nu90411105001/FPMB","12-Jan-19 19:54:05","12-Jan-19 19:55:04","  63.00","  55.81"," 88.59","  817","  903"
"nu90411106001/FPMA","12-Jan-19 19:55:53","12-Jan-19 19:56:51","  59.00","  52.62"," 89.18","  886","  473"
"nu90411106001/FPMB","12-Jan-19 19:55:53","12-Jan-19 19:56:51","  59.00","  51.80"," 87.80","  868","  473"
"nu90411107001/FPMA","12-Jan-19 19:57:42","12-Jan-19 19:58:39","  59.00","  53.32"," 90.38","  224","  468"
"nu90411107001/FPMB","12-Jan-19 19:57:42","12-Jan-19 19:58:39","  59.00","  52.00"," 88.14","  554","  546"
"nu90411108001/FPMA","12-Jan-19 19:59:29","12-Jan-19 20:00:27","  59.00","  53.66"," 90.96","  -38","  362"
"nu90411108001/FPMB","12-Jan-19 19:59:29","12-Jan-19 20:00:27","  59.00","  52.94"," 89.72","  -47","  426"
"nu90411109001/FPMA","12-Jan-19 20:01:17","12-Jan-19 20:02:14","  59.00","  54.46"," 92.31"," -519","  529"
"nu90411109001/FPMB","12-Jan-19 20:01:17","12-Jan-19 20:02:15","  59.00","  53.50"," 90.67"," -448","  537"
"nu90411110001/FPMA","12-Jan-19 20:03:05","12-Jan-19 20:04:07","  63.00","  57.76"," 91.68","-1009","  554"
"nu90411110001/FPMB","12-Jan-19 20:03:05","12-Jan-19 20:04:07","  63.00","  57.04"," 90.54"," -905","  566"
"nu90411111001/FPMA","12-Jan-19 20:04:53","12-Jan-19 20:05:55","  63.00","  58.27"," 92.50","-1050","  124"
"nu90411111001/FPMB","12-Jan-19 20:04:55","12-Jan-19 20:05:55","  63.00","  57.48"," 91.23","-1033","  190"
"nu90411112001/FPMA","12-Jan-19 20:06:41","12-Jan-19 20:07:43","  63.00","  58.44"," 92.76"," -502","   43"
"nu90411112001/FPMB","12-Jan-19 20:06:41","12-Jan-19 20:07:43","  63.00","  57.76"," 91.69"," -419","  168"
"nu90411113001/FPMA","12-Jan-19 20:08:29","12-Jan-19 20:09:31","  63.00","  58.10"," 92.22","   45","  220"
"nu90411113001/FPMB","12-Jan-19 20:08:30","12-Jan-19 20:09:31","  63.00","  56.93"," 90.37","   18","  234"
"nu90411114001/FPMA","12-Jan-19 20:10:17","12-Jan-19 20:11:19","  63.00","  57.73"," 91.64","  274","  229"
"nu90411114001/FPMB","12-Jan-19 20:10:17","12-Jan-19 20:11:19","  63.00","  56.91"," 90.34","  333","  259"
"nu90411115001/FPMA","12-Jan-19 20:12:05","12-Jan-19 20:13:07","  63.00","  56.21"," 89.22","  918","  249"
"nu90411115001/FPMB","12-Jan-19 20:12:05","12-Jan-19 20:13:07","  63.00","  55.10"," 87.47","  908","  261"
"nu90411116001/FPMA","12-Jan-19 20:13:53","12-Jan-19 20:14:51","  59.00","  54.94"," 93.11","  802"," -342"
"nu90411116001/FPMB","12-Jan-19 20:13:53","12-Jan-19 20:14:51","  59.00","  54.37"," 92.15","  819"," -205"
"nu90411117001/FPMA","12-Jan-19 20:15:41","12-Jan-19 20:16:39","  59.00","  55.04"," 93.28","  428"," -278"
"nu90411117001/FPMB","12-Jan-19 20:15:41","12-Jan-19 20:16:38","  59.00","  54.20"," 91.86","  387"," -264"
"nu90411118001/FPMA","12-Jan-19 20:17:29","12-Jan-19 20:18:27","  59.00","  54.97"," 93.17","   33"," -271"
"nu90411118001/FPMB","12-Jan-19 20:17:30","12-Jan-19 20:18:27","  59.00","  54.32"," 92.07","   -8"," -254"
"nu90411119001/FPMA","12-Jan-19 20:19:17","12-Jan-19 20:20:15","  59.00","  54.60"," 92.54"," -502"," -362"
"nu90411119001/FPMB","12-Jan-19 20:19:18","12-Jan-19 20:20:15","  59.00","  53.96"," 91.45"," -534"," -330"
"nu90411120001/FPMA","12-Jan-19 20:21:05","12-Jan-19 20:22:07","  63.00","  58.17"," 92.33","-1060"," -365"
"nu90411120001/FPMB","12-Jan-19 20:21:06","12-Jan-19 20:22:07","  63.00","  57.74"," 91.65"," -991"," -281"
"nu90411121001/FPMA","12-Jan-19 20:22:53","12-Jan-19 20:23:55","  63.00","  58.48"," 92.82"," -947"," -716"
"nu90411121001/FPMB","12-Jan-19 20:22:53","12-Jan-19 20:23:55","  63.00","  57.75"," 91.66"," -905"," -694"
"nu90411122001/FPMA","12-Jan-19 20:24:41","12-Jan-19 20:25:43","  63.00","  58.18"," 92.35"," -404"," -841"
"nu90411122001/FPMB","12-Jan-19 20:24:41","12-Jan-19 20:25:43","  63.00","  57.43"," 91.15"," -424"," -711"
"nu90411123001/FPMA","12-Jan-19 20:26:29","12-Jan-19 20:27:29","  63.00","  57.92"," 91.94","  -97"," -787"
"nu90411123001/FPMB","12-Jan-19 20:26:29","12-Jan-19 20:27:30","  63.00","  57.01"," 90.49"," -111"," -797"
"nu90411124001/FPMA","12-Jan-19 20:28:17","12-Jan-19 20:29:19","  63.00","  51.89"," 82.37","  433"," -738"
"nu90411124001/FPMB","12-Jan-19 20:28:17","12-Jan-19 20:29:18","  63.00","  50.55"," 80.23","  394"," -726"
"nu90401203001/FPMA","12-Jan-19 20:45:37","12-Jan-19 20:47:57"," 141.00"," 110.99"," 78.72","  959","  261"
"nu90411125001/FPMB","12-Jan-19 20:30:05","12-Jan-19 20:30:08","   4.00","   2.02"," 50.43"," 1136"," -679"
"nu90411201001/FPMA","12-Jan-19 21:24:27","12-Jan-19 21:24:46","  21.00","  19.48"," 92.77","-1087"," 1070"
"nu90401203001/FPMB","12-Jan-19 20:45:37","12-Jan-19 20:47:57"," 141.00"," 109.58"," 77.71"," 1026","  298"
"nu90411202001/FPMA","12-Jan-19 21:25:35","12-Jan-19 21:26:51","  77.00","  70.96"," 92.16"," -596","  957"
"nu90411201001/FPMB","12-Jan-19 21:24:29","12-Jan-19 21:24:45","  21.00","  19.27"," 91.76"," -937","  984"
"nu90411203001/FPMA","12-Jan-19 21:27:37","12-Jan-19 21:28:51","  75.00","  69.15"," 92.20","  -77","  893"
"nu90411202001/FPMB","12-Jan-19 21:25:37","12-Jan-19 21:26:51","  77.00","  70.36"," 91.38"," -512","  969"
"nu90411204001/FPMA","12-Jan-19 21:29:40","12-Jan-19 21:30:55","  76.00","  69.60"," 91.58","  342","  999"
"nu90411203001/FPMB","12-Jan-19 21:27:39","12-Jan-19 21:28:51","  75.00","  68.63"," 91.50"," -163","  986"
"nu90411205001/FPMA","12-Jan-19 21:31:42","12-Jan-19 21:32:55","  78.00","  70.41"," 90.27","  802","  908"
"nu90411204001/FPMB","12-Jan-19 21:29:40","12-Jan-19 21:30:54","  76.00","  68.52"," 90.16","  416","  947"
"nu90411206001/FPMA","12-Jan-19 21:33:45","12-Jan-19 21:34:57","  75.00","  67.33"," 89.78","  866","  556"
"nu90411205001/FPMB","12-Jan-19 21:31:42","12-Jan-19 21:32:59","  78.00","  69.54"," 89.15","  851"," 1001"
"nu90411207001/FPMA","12-Jan-19 21:35:47","12-Jan-19 21:36:58","  73.00","  66.51"," 91.11","  350","  480"
"nu90411206001/FPMB","12-Jan-19 21:33:45","12-Jan-19 21:34:59","  75.00","  66.76"," 89.01","  891","  544"
"nu90411208001/FPMA","12-Jan-19 21:37:49","12-Jan-19 21:39:02","  75.00","  69.17"," 92.23"," -200","  527"
"nu90411207001/FPMB","12-Jan-19 21:35:47","12-Jan-19 21:36:59","  73.00","  65.01"," 89.05","  485","  601"
"nu90411209001/FPMA","12-Jan-19 21:39:56","12-Jan-19 21:41:05","  76.00","  70.27"," 92.46"," -542","  529"
"nu90411208001/FPMB","12-Jan-19 21:37:50","12-Jan-19 21:39:03","  75.00","  68.36"," 91.15","   72","  473"
"nu90411210001/FPMA","12-Jan-19 21:41:54","12-Jan-19 21:43:11","  78.00","  71.71"," 91.94"," -962","  537"
"nu90411209001/FPMB","12-Jan-19 21:39:55","12-Jan-19 21:41:06","  76.00","  69.33"," 91.22"," -387","  603"
"nu90411211001/FPMA","12-Jan-19 21:43:57","12-Jan-19 21:45:11","  75.00","  69.12"," 92.16","-1023","  126"
"nu90411210001/FPMB","12-Jan-19 21:41:54","12-Jan-19 21:43:11","  78.00","  70.40"," 90.26","-1021","  551"
"nu90411212001/FPMA","12-Jan-19 21:45:59","12-Jan-19 21:47:14","  77.00","  71.67"," 93.07"," -564","   62"
"nu90411211001/FPMB","12-Jan-19 21:43:59","12-Jan-19 21:45:11","  75.00","  68.02"," 90.69","-1011","   97"
"nu90411213001/FPMA","12-Jan-19 21:48:01","12-Jan-19 21:49:15","  75.00","  69.57"," 92.76","    1","  165"
"nu90411212001/FPMB","12-Jan-19 21:46:00","12-Jan-19 21:47:15","  77.00","  70.71"," 91.83"," -500","  119"
"nu90411214001/FPMA","12-Jan-19 21:50:04","12-Jan-19 21:51:17","  76.00","  69.97"," 92.07","  409","  121"
"nu90411213001/FPMB","12-Jan-19 21:48:01","12-Jan-19 21:49:15","  75.00","  68.89"," 91.86","   38","  254"
"nu90411215001/FPMA","12-Jan-19 21:52:06","12-Jan-19 21:53:23","  78.00","  71.11"," 91.16","  952","  217"
"nu90411214001/FPMB","12-Jan-19 21:50:04","12-Jan-19 21:51:18","  76.00","  68.89"," 90.65","  470","  133"
"nu90411216001/FPMA","12-Jan-19 21:54:09","12-Jan-19 21:55:21","  75.00","  69.80"," 93.07","  910"," -281"
"nu90411215001/FPMB","12-Jan-19 21:52:08","12-Jan-19 21:53:23","  78.00","  69.69"," 89.34","  942","  249"
"nu90411217001/FPMA","12-Jan-19 21:56:12","12-Jan-19 21:57:22","  73.00","  68.07"," 93.24","  345"," -269"
"nu90411216001/FPMB","12-Jan-19 21:54:13","12-Jan-19 21:55:22","  75.00","  69.02"," 92.02","  959"," -310"
"nu90411218001/FPMA","12-Jan-19 21:58:13","12-Jan-19 21:59:27","  75.00","  69.77"," 93.03","  -33"," -239"
"nu90411217001/FPMB","12-Jan-19 21:56:12","12-Jan-19 21:57:22","  73.00","  67.21"," 92.07","  495"," -229"
"nu90411219001/FPMA","12-Jan-19 22:00:16","12-Jan-19 22:01:31","  76.00","  70.32"," 92.53"," -468"," -394"
"nu90411218001/FPMB","12-Jan-19 21:58:16","12-Jan-19 21:59:24","  75.00","  69.06"," 92.08","   33"," -278"
"nu90411220001/FPMA","12-Jan-19 22:02:18","12-Jan-19 22:03:35","  78.00","  72.13"," 92.47"," -994"," -308"
"nu90411219001/FPMB","12-Jan-19 22:00:16","12-Jan-19 22:01:31","  76.00","  69.68"," 91.69"," -414"," -337"
"nu90411221001/FPMA","12-Jan-19 22:04:21","12-Jan-19 22:05:35","  75.00","  69.57"," 92.77"," -984"," -733"
"nu90411220001/FPMB","12-Jan-19 22:02:20","12-Jan-19 22:03:33","  78.00","  71.44"," 91.58"," -979"," -323"
"nu90411222001/FPMA","12-Jan-19 22:06:23","12-Jan-19 22:07:39","  77.00","  71.24"," 92.51"," -446"," -777"
"nu90411221001/FPMB","12-Jan-19 22:04:23","12-Jan-19 22:05:35","  75.00","  68.81"," 91.75"," -900"," -657"
"nu90411223001/FPMA","12-Jan-19 22:08:28","12-Jan-19 22:09:39","  75.00","  69.21"," 92.28","  -65"," -807"
"nu90411222001/FPMB","12-Jan-19 22:06:23","12-Jan-19 22:07:38","  77.00","  70.55"," 91.62"," -451"," -696"
"nu90411224001/FPMA","12-Jan-19 22:10:29","12-Jan-19 22:11:43","  76.00","  64.81"," 85.28","  433"," -753"
"nu90411223001/FPMB","12-Jan-19 22:08:25","12-Jan-19 22:09:39","  75.00","  68.16"," 90.88","  -30"," -750"
"nu90411225001/FPMA","12-Jan-19 22:12:30","12-Jan-19 22:13:03","  34.00","  19.69"," 57.92"," 1033"," -822"
"nu90411224001/FPMB","12-Jan-19 22:10:28","12-Jan-19 22:11:43","  76.00","  63.60"," 83.68","  527"," -809"
"nu90401201001/FPMA","12-Jan-19 16:34:22","12-Jan-19 17:34:40","2854.00","2594.26"," 90.90","  507","  217"
