NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu80512218001/FPMA","21-Feb-20 05:16:17","21-Feb-20 06:15:50","3575.00","3324.77"," 93.00","  -11","   20"
"nu80512218001/FPMB","21-Feb-20 05:16:16","21-Feb-20 06:15:50","3575.00","3288.58"," 91.99","   13","   57"
"nu80513202001/FPMA","21-Feb-20 06:54:30","21-Feb-20 06:56:08"," 102.00","  84.13"," 82.48"," -635","  775"
"nu80513202001/FPMB","21-Feb-20 06:54:31","21-Feb-20 06:56:11"," 102.00","  84.36"," 82.70"," -603","  792"
"nu80513203001/FPMA","21-Feb-20 06:56:59","21-Feb-20 06:58:32","  99.00","  91.48"," 92.41"," -126","  866"
"nu80513203001/FPMB","21-Feb-20 06:56:57","21-Feb-20 06:58:35","  99.00","  90.31"," 91.22","  -74","  836"
"nu80513204001/FPMA","21-Feb-20 06:59:25","21-Feb-20 07:01:02"," 100.00","  91.95"," 91.95","  308","  836"
"nu80513204001/FPMB","21-Feb-20 06:59:25","21-Feb-20 07:01:02"," 100.00","  91.03"," 91.03","  436","  886"
"nu80513205001/FPMA","21-Feb-20 07:01:52","21-Feb-20 07:03:31"," 101.00","  93.50"," 92.57","  711","  846"
"nu80513205001/FPMB","21-Feb-20 07:01:51","21-Feb-20 07:03:31"," 101.00","  92.32"," 91.41","  891","  836"
"nu80513206001/FPMA","21-Feb-20 07:04:19","21-Feb-20 07:05:58"," 101.00","  94.09"," 93.15","  868","  510"
"nu80513206001/FPMB","21-Feb-20 07:04:20","21-Feb-20 07:05:59"," 101.00","  93.22"," 92.30","  753","  470"
"nu80513207001/FPMA","21-Feb-20 07:06:46","21-Feb-20 07:08:22","  98.00","  90.93"," 92.78","  347","  480"
"nu80513207001/FPMB","21-Feb-20 07:06:46","21-Feb-20 07:08:22","  98.00","  89.86"," 91.70","  510","  485"
"nu80513208001/FPMA","21-Feb-20 07:09:16","21-Feb-20 07:10:49","  99.00","  92.06"," 92.99"," -138","  308"
"nu80513208001/FPMB","21-Feb-20 07:09:16","21-Feb-20 07:10:48","  99.00","  91.15"," 92.07","  -47","  512"
"nu80513209001/FPMA","21-Feb-20 07:11:40","21-Feb-20 07:13:19"," 100.00","  92.20"," 92.20"," -443","  333"
"nu80513209001/FPMB","21-Feb-20 07:11:42","21-Feb-20 07:13:17"," 100.00","  91.27"," 91.27"," -409","  306"
"nu80513210001/FPMA","21-Feb-20 07:14:10","21-Feb-20 07:15:46"," 101.00","  93.77"," 92.84"," -920","  401"
"nu80513210001/FPMB","21-Feb-20 07:14:08","21-Feb-20 07:15:47"," 101.00","  91.87"," 90.96"," -925","  463"
"nu80513211001/FPMA","21-Feb-20 07:16:35","21-Feb-20 07:18:15"," 101.00","  93.85"," 92.92"," -984","  -92"
