NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20001005001/FPMA","11-Dec-14 18:39:00","11-Dec-14 19:04:59","1560.00","  17.19","  1.10"," 1082"," -298"
"nu20001005001/FPMB","11-Dec-14 18:39:00","11-Dec-14 19:04:59","1560.00","  15.40","  0.99"," 1045"," -271"
"nu20001004001/FPMA","11-Dec-14 19:06:16","11-Dec-14 19:40:19","1494.00","  51.91","  3.47","  340","  908"
"nu20001004001/FPMB","11-Dec-14 19:06:16","11-Dec-14 19:40:19","1496.00","  46.69","  3.12","  306","  935"
