NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20618001001/FPMA","17-Nov-21 17:28:39","17-Nov-21 18:29:12","3226.00"," 331.57"," 10.28"," 1085","  478"
"nu20618001001/FPMB","17-Nov-21 17:28:39","17-Nov-21 18:29:12","3230.00"," 331.99"," 10.28"," 1127","  485"
"nu20618002001/FPMA","17-Nov-21 19:05:23","17-Nov-21 20:05:58","3014.00"," 496.21"," 16.46"," -723","  -57"
"nu20618002001/FPMB","17-Nov-21 19:05:23","17-Nov-21 20:05:58","3016.00"," 489.60"," 16.23"," -682","  -47"
"nu20618003001/FPMA","17-Nov-21 20:42:01","17-Nov-21 21:32:36","3036.00"," 640.69"," 21.10"," -741","  -52"
"nu20618003001/FPMB","17-Nov-21 20:42:01","17-Nov-21 21:32:40","3040.00"," 701.67"," 23.08"," -694","  -47"
"nu20619001001/FPMA","19-Nov-21 22:37:20","19-Nov-21 23:33:21","3362.00"," 887.52"," 26.40"," -473","  -55"
"nu20619001001/FPMB","19-Nov-21 22:37:20","19-Nov-21 23:33:24","3365.00"," 813.53"," 24.18"," -446","  -40"
"nu20619002001/FPMA","20-Nov-21 00:13:57","20-Nov-21 01:14:26","3550.00"," 799.16"," 22.51"," -446","  -55"
"nu20619002001/FPMB","20-Nov-21 00:13:57","20-Nov-21 01:14:26","3550.00"," 811.21"," 22.85"," -411","  -45"
"nu20619003001/FPMA","20-Nov-21 01:50:34","20-Nov-21 02:51:03","3630.00"," 879.52"," 24.23"," -426","  -60"
"nu20619003001/FPMB","20-Nov-21 01:50:34","20-Nov-21 02:51:03","3630.00"," 890.62"," 24.53"," -387","  -38"
"nu20620001001/FPMA","21-Nov-21 22:55:58","21-Nov-21 23:52:49","3412.00"," 755.76"," 22.15","  161","  483"
"nu20620001001/FPMB","21-Nov-21 22:55:58","21-Nov-21 23:52:52","3415.00"," 870.31"," 25.49","  129","  514"
"nu20620002001/FPMA","22-Nov-21 00:32:36","22-Nov-21 01:32:57","3621.00"," 748.01"," 20.66","  190","  485"
"nu20620002001/FPMB","22-Nov-21 00:32:36","22-Nov-21 01:32:57","3621.00"," 897.85"," 24.80","  158","  514"
"nu20620003001/FPMA","22-Nov-21 02:09:13","22-Nov-21 02:58:59","2987.00"," 705.76"," 23.63","  205","  495"
"nu20620003001/FPMB","22-Nov-21 02:09:13","22-Nov-21 02:58:59","2987.00"," 839.02"," 28.09","  165","  517"
"nu20620004001/FPMA","22-Nov-21 03:00:10","22-Nov-21 03:09:33"," 562.00"," 175.27"," 31.19","  483"," -490"
"nu20620004001/FPMB","22-Nov-21 03:00:10","22-Nov-21 03:09:33"," 562.00"," 132.49"," 23.58","  453"," -465"
