NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20513001001/FPMA","29-Jan-20 08:05:47","29-Jan-20 08:14:22"," 515.99","  74.21"," 14.38","  556","   82"
"nu20513001001/FPMB","29-Jan-20 08:05:47","29-Jan-20 08:14:22"," 515.99","  95.84"," 18.57","  603","  114"
"nu20514001001/FPMA","29-Jan-20 10:03:21","29-Jan-20 10:36:42","1966.99","1446.18"," 73.52","   28"," -630"
"nu20514001001/FPMB","29-Jan-20 10:03:21","29-Jan-20 10:36:42","1966.99","1261.84"," 64.15","   62"," -596"
"nu20513002001/FPMA","29-Jan-20 11:12:39","29-Jan-20 11:53:59","1602.00"," 238.89"," 14.91","  605","   74"
"nu20513002001/FPMB","29-Jan-20 11:12:39","29-Jan-20 11:53:59","1602.00"," 300.54"," 18.76","  635","  109"
"nu20513005001/FPMA","29-Jan-20 16:05:50","29-Jan-20 17:07:49","3422.97"," 564.50"," 16.49","  637","   72"
"nu20513005001/FPMB","29-Jan-20 16:05:50","29-Jan-20 17:03:15","3422.97"," 631.34"," 18.44","  667","  109"
"nu20513006001/FPMA","29-Jan-20 17:48:36","29-Jan-20 17:56:08"," 453.00","  64.56"," 14.25","  573","   77"
"nu20513006001/FPMB","29-Jan-20 17:48:36","29-Jan-20 17:56:08"," 453.00","  69.43"," 15.33","  615","  116"
"nu20513007001/FPMA","29-Jan-20 19:18:54","29-Jan-20 20:16:33","2941.99"," 447.62"," 15.21","  637","   79"
"nu20513007001/FPMB","29-Jan-20 19:18:54","29-Jan-20 20:16:34","2943.99"," 461.68"," 15.68","  674","  111"
"nu20513008001/FPMA","29-Jan-20 20:52:35","29-Jan-20 21:43:50","3076.00"," 386.99"," 12.58","  723","   74"
"nu20513008001/FPMB","29-Jan-20 20:52:35","29-Jan-20 21:43:52","3078.00"," 464.96"," 15.11","  765","  116"
"nu20514009001/FPMA","29-Jan-20 22:29:17","29-Jan-20 23:25:17","3361.00","2530.59"," 75.29","   94"," -780"
"nu20514009001/FPMB","29-Jan-20 22:29:17","29-Jan-20 23:25:20","3364.00","2276.10"," 67.66","  126"," -743"
"nu20514010001/FPMA","30-Jan-20 00:05:57","30-Jan-20 01:06:34","3638.00","2782.20"," 76.48","   97"," -777"
"nu20514010001/FPMB","30-Jan-20 00:05:57","30-Jan-20 01:06:34","3638.00","2515.67"," 69.15","  129"," -743"
"nu20514011001/FPMA","30-Jan-20 01:42:36","30-Jan-20 01:58:03"," 912.00"," 666.29"," 73.06","   30"," -773"
"nu20514011001/FPMB","30-Jan-20 01:42:36","30-Jan-20 01:58:03"," 912.00"," 602.95"," 66.11","   65"," -738"
"nu20514012001/FPMA","30-Jan-20 03:36:35","30-Jan-20 04:19:52","2598.00","1935.12"," 74.48","  116"," -780"
