NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20611001001/FPMA","06-Jun-20 19:07:22","06-Jun-20 19:35:03","1662.00","  71.28","  4.29","  227","  596"
"nu20611001001/FPMB","06-Jun-20 19:07:22","06-Jun-20 19:35:03","1662.00","  55.90","  3.36","  180","  561"
"nu20611002001/FPMA","06-Jun-20 19:36:13","06-Jun-20 20:07:28","1553.00","   7.17","  0.46"," -628"," -318"
"nu20611002001/FPMB","06-Jun-20 19:36:13","06-Jun-20 20:07:28","1556.00","   9.14","  0.59"," -667"," -355"
"nu20611003001/FPMA","06-Jun-20 20:44:06","06-Jun-20 21:37:30","3205.00","  64.20","  2.00"," -632"," -330"
"nu20611003001/FPMB","06-Jun-20 20:44:06","06-Jun-20 21:37:31","3206.00","  78.49","  2.45"," -674"," -362"
"nu20611004001/FPMA","07-Jun-20 19:16:55","07-Jun-20 19:33:55","1021.00"," 303.19"," 29.70","  436","  632"
"nu20611004001/FPMB","07-Jun-20 19:16:55","07-Jun-20 19:33:55","1021.00"," 237.99"," 23.31","  396","  598"
"nu20611005001/FPMA","07-Jun-20 19:35:03","07-Jun-20 20:17:02","2094.00","  57.55","  2.75"," -421"," -320"
"nu20611005001/FPMB","07-Jun-20 19:35:03","07-Jun-20 20:17:02","2096.00","  72.82","  3.47"," -463"," -355"
"nu20611006001/FPMA","07-Jun-20 20:53:39","07-Jun-20 21:46:48","3190.00","  46.60","  1.46"," -419"," -323"
"nu20611006001/FPMB","07-Jun-20 20:53:39","07-Jun-20 21:46:52","3194.00","  56.52","  1.77"," -460"," -365"
"nu20611007001/FPMA","08-Jun-20 19:26:29","08-Jun-20 19:53:55","1647.00"," 600.70"," 36.47","  544","  610"
"nu20611007001/FPMB","08-Jun-20 19:26:29","08-Jun-20 19:53:55","1647.00"," 487.33"," 29.59","  497","  581"
"nu20611008001/FPMA","08-Jun-20 19:55:03","08-Jun-20 20:26:36","1386.00","  56.23","  4.06"," -205"," -308"
"nu20611008001/FPMB","08-Jun-20 19:55:03","08-Jun-20 20:26:36","1390.00","  70.86","  5.10"," -242"," -347"
"nu20611009001/FPMA","08-Jun-20 21:03:12","08-Jun-20 21:56:15","3179.00"," 100.73","  3.17"," -205"," -323"
"nu20611009001/FPMB","08-Jun-20 21:03:12","08-Jun-20 21:56:17","3181.00"," 120.33","  3.78"," -247"," -355"
"nu20611010001/FPMA","09-Jun-20 14:46:12","09-Jun-20 15:46:17","3605.00"," 176.25","  4.89","  -35"," -320"
"nu20611010001/FPMB","09-Jun-20 14:46:12","09-Jun-20 15:46:16","3605.00"," 214.13","  5.94","  -79"," -352"
