NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu90410101001/FPMA","28-Sep-18 18:24:58","28-Sep-18 18:25:43","  46.00","  40.82"," 88.74"," -925","  923"
"nu90410101001/FPMB","28-Sep-18 18:24:58","28-Sep-18 18:25:43","  46.00","  39.97"," 86.90"," -819","  935"
"nu90410102001/FPMA","28-Sep-18 18:26:30","28-Sep-18 18:28:11"," 102.00","  88.47"," 86.73"," -539","  898"
"nu90410102001/FPMB","28-Sep-18 18:26:30","28-Sep-18 18:28:11"," 102.00","  86.85"," 85.15"," -512","  972"
"nu90410103001/FPMA","28-Sep-18 18:28:57","28-Sep-18 18:30:35","  99.00","  87.84"," 88.73","  -25","  982"
"nu90410103001/FPMB","28-Sep-18 18:28:57","28-Sep-18 18:30:35","  99.00","  86.09"," 86.96","   11"," 1031"
"nu90410104001/FPMA","28-Sep-18 18:31:24","28-Sep-18 18:33:03"," 100.00","  87.71"," 87.71","  372","  979"
"nu90410104001/FPMB","28-Sep-18 18:31:24","28-Sep-18 18:33:03"," 100.00","  86.29"," 86.29","  416","  991"
"nu90410105001/FPMA","28-Sep-18 18:33:52","28-Sep-18 18:35:31"," 101.00","  90.28"," 89.39","  765","  947"
"nu90410105001/FPMB","28-Sep-18 18:33:52","28-Sep-18 18:35:31"," 101.00","  89.49"," 88.60","  827","  991"
"nu90410106001/FPMA","28-Sep-18 18:36:19","28-Sep-18 18:37:59"," 101.00","  90.81"," 89.92","  809","  576"
"nu90410106001/FPMB","28-Sep-18 18:36:19","28-Sep-18 18:37:59"," 101.00","  89.28"," 88.40","  849","  571"
"nu90410107001/FPMA","28-Sep-18 18:38:46","28-Sep-18 18:40:23","  98.00","  88.09"," 89.89","  394","  559"
"nu90410107001/FPMB","28-Sep-18 18:38:46","28-Sep-18 18:40:23","  98.00","  85.73"," 87.48","  480","  605"
"nu90410108001/FPMA","28-Sep-18 18:41:13","28-Sep-18 18:42:51","  99.00","  89.51"," 90.42","  -55","  546"
"nu90410108001/FPMB","28-Sep-18 18:41:13","28-Sep-18 18:42:51","  99.00","  88.13"," 89.02","  -28","  571"
"nu90410109001/FPMA","28-Sep-18 18:43:40","28-Sep-18 18:45:19"," 100.00","  85.77"," 85.77"," -583","  505"
"nu90410109001/FPMB","28-Sep-18 18:43:40","28-Sep-18 18:45:19"," 100.00","  85.63"," 85.63"," -502","  551"
"nu90410110001/FPMA","28-Sep-18 18:46:07","28-Sep-18 18:47:47"," 101.00","  74.07"," 73.34"," -947","  460"
"nu90410110001/FPMB","28-Sep-18 18:46:07","28-Sep-18 18:47:47"," 101.00","  70.61"," 69.91"," -903","  510"
"nu90410111001/FPMA","28-Sep-18 18:48:35","28-Sep-18 18:50:15"," 101.00","  70.03"," 69.34"," -954","  119"
"nu90410111001/FPMB","28-Sep-18 18:48:35","28-Sep-18 18:50:15"," 101.00","  65.38"," 64.73"," -937","  161"
"nu90410112001/FPMA","28-Sep-18 18:51:02","28-Sep-18 18:52:43"," 102.00","  88.46"," 86.72"," -487","   89"
"nu90410112001/FPMB","28-Sep-18 18:51:02","28-Sep-18 18:52:43"," 102.00","  87.83"," 86.11"," -453","  126"
"nu90410113001/FPMA","28-Sep-18 18:53:29","28-Sep-18 18:55:07","  99.00","  88.57"," 89.46","  -79","   82"
"nu90410113001/FPMB","28-Sep-18 18:53:29","28-Sep-18 18:55:06","  99.00","  87.05"," 87.92","    6","  121"
"nu90410114001/FPMA","28-Sep-18 18:55:56","28-Sep-18 18:57:35"," 100.00","  89.42"," 89.42","  362","   82"
"nu90410114001/FPMB","28-Sep-18 18:55:56","28-Sep-18 18:57:35"," 100.00","  87.47"," 87.47","  374","   84"
"nu90410115001/FPMA","28-Sep-18 18:58:23","28-Sep-18 19:00:03"," 101.00","  91.31"," 90.41","  851","  124"
"nu90410115001/FPMB","28-Sep-18 18:58:23","28-Sep-18 19:00:03"," 101.00","  90.41"," 89.52","  871","  170"
"nu90410116001/FPMA","28-Sep-18 19:00:51","28-Sep-18 19:02:31"," 101.00","  92.41"," 91.49","  827"," -293"
"nu90410116001/FPMB","28-Sep-18 19:00:51","28-Sep-18 19:02:31"," 101.00","  91.21"," 90.31","  836"," -293"
"nu90410117001/FPMA","28-Sep-18 19:03:18","28-Sep-18 19:04:55","  98.00","  88.01"," 89.81","  392"," -269"
"nu90410117001/FPMB","28-Sep-18 19:03:18","28-Sep-18 19:04:55","  98.00","  86.71"," 88.48","  406"," -266"
"nu90410118001/FPMA","28-Sep-18 19:05:45","28-Sep-18 19:07:23","  99.00","  89.36"," 90.26","  -47"," -281"
"nu90410118001/FPMB","28-Sep-18 19:05:45","28-Sep-18 19:07:23","  99.00","  87.44"," 88.33","   -8"," -256"
"nu90410119001/FPMA","28-Sep-18 19:08:12","28-Sep-18 19:09:51"," 100.00","  89.05"," 89.05"," -517"," -266"
"nu90410119001/FPMB","28-Sep-18 19:08:12","28-Sep-18 19:09:51"," 100.00","  87.95"," 87.95"," -426"," -264"
