NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20512101001/FPMA","02-Jul-19 04:16:46","02-Jul-19 04:17:35","  50.00","  42.99"," 85.98"," -873","  832"
"nu20512101001/FPMB","02-Jul-19 04:16:46","02-Jul-19 04:17:35","  50.00","  41.94"," 83.89"," -817","  817"
"nu20512102001/FPMA","02-Jul-19 04:18:22","02-Jul-19 04:20:03"," 102.00","  87.28"," 85.57"," -492","  812"
"nu20512102001/FPMB","02-Jul-19 04:18:22","02-Jul-19 04:20:03"," 102.00","  85.00"," 83.33"," -419","  861"
"nu20512103001/FPMA","02-Jul-19 04:20:51","02-Jul-19 04:22:31"," 101.00","  86.42"," 85.56"," -146","  814"
"nu20512103001/FPMB","02-Jul-19 04:20:51","02-Jul-19 04:22:31"," 101.00","  84.80"," 83.96","  -87","  846"
"nu20512104001/FPMA","02-Jul-19 04:23:20","02-Jul-19 04:25:03"," 104.00","  89.23"," 85.80","  325","  873"
"nu20512104001/FPMB","02-Jul-19 04:23:20","02-Jul-19 04:25:03"," 104.00","  87.22"," 83.87","  436","  915"
"nu20512105001/FPMA","02-Jul-19 04:25:49","02-Jul-19 04:27:31"," 103.00","  88.83"," 86.24","  768","  873"
"nu20512105001/FPMB","02-Jul-19 04:25:49","02-Jul-19 04:27:31"," 103.00","  87.86"," 85.30","  866","  940"
"nu20512106001/FPMA","02-Jul-19 04:28:19","02-Jul-19 04:29:59"," 101.00","  88.45"," 87.57","  797","  483"
"nu20512106001/FPMB","02-Jul-19 04:28:19","02-Jul-19 04:29:59"," 101.00","  86.21"," 85.36","  841","  517"
"nu20512107001/FPMA","02-Jul-19 04:30:48","02-Jul-19 04:32:27"," 100.00","  86.40"," 86.40","  276","  446"
"nu20512107001/FPMB","02-Jul-19 04:30:48","02-Jul-19 04:32:26"," 100.00","  83.98"," 83.98","  355","  505"
"nu20512108001/FPMA","02-Jul-19 04:33:17","02-Jul-19 04:34:59"," 103.00","  59.06"," 57.34"," -229","  387"
"nu20512108001/FPMB","02-Jul-19 04:33:17","02-Jul-19 04:34:59"," 103.00","  65.70"," 63.78"," -205","  392"
"nu20512109001/FPMA","02-Jul-19 04:35:46","02-Jul-19 04:37:27"," 102.00","  55.05"," 53.97"," -453","  379"
"nu20512109001/FPMB","02-Jul-19 04:35:46","02-Jul-19 04:37:27"," 102.00","  49.11"," 48.14"," -401","  396"
"nu20512110001/FPMA","02-Jul-19 04:38:15","02-Jul-19 04:39:59"," 105.00","  86.93"," 82.79"," -844","  431"
"nu20512110001/FPMB","02-Jul-19 04:38:15","02-Jul-19 04:39:59"," 105.00","  80.33"," 76.50"," -787","  443"
"nu20512111001/FPMA","02-Jul-19 04:40:45","02-Jul-19 04:42:27"," 103.00","  83.46"," 81.03"," -841","  131"
"nu20512111001/FPMB","02-Jul-19 04:40:45","02-Jul-19 04:42:27"," 103.00","  72.65"," 70.54"," -805","  156"
"nu20512112001/FPMA","02-Jul-19 04:43:14","02-Jul-19 04:44:55"," 102.00","  41.48"," 40.67"," -473","  133"
"nu20512112001/FPMB","02-Jul-19 04:43:14","02-Jul-19 04:44:55"," 102.00","  31.28"," 30.66"," -409","  178"
"nu20512113001/FPMA","02-Jul-19 04:45:43","02-Jul-19 04:47:23"," 101.00","  51.80"," 51.29"," -168","  119"
"nu20512113001/FPMB","02-Jul-19 04:45:43","02-Jul-19 04:47:23"," 101.00","  57.74"," 57.17"," -156","  129"
"nu20512114001/FPMA","02-Jul-19 04:48:12","02-Jul-19 04:49:55"," 104.00","  86.37"," 83.05","  291","   38"
"nu20512114001/FPMB","02-Jul-19 04:48:12","02-Jul-19 04:49:54"," 104.00","  87.87"," 84.49","  337","  106"
"nu20512115001/FPMA","02-Jul-19 04:50:42","02-Jul-19 04:52:23"," 103.00","  92.04"," 89.36","  775","   77"
"nu20512115001/FPMB","02-Jul-19 04:50:41","02-Jul-19 04:52:23"," 103.00","  90.02"," 87.40","  841","  114"
"nu20512116001/FPMA","02-Jul-19 04:53:11","02-Jul-19 04:54:50"," 101.00","  90.53"," 89.63","  812"," -296"
"nu20512116001/FPMB","02-Jul-19 04:53:11","02-Jul-19 04:54:51"," 101.00","  88.57"," 87.70","  888"," -247"
"nu20512117001/FPMA","02-Jul-19 04:55:40","02-Jul-19 04:57:19"," 100.00","  75.34"," 75.34","  310"," -281"
"nu20512117001/FPMB","02-Jul-19 04:55:40","02-Jul-19 04:57:19"," 100.00","  76.34"," 76.34","  347"," -266"
"nu20512118001/FPMA","02-Jul-19 04:58:09","02-Jul-19 04:59:51"," 103.00","  78.60"," 76.31","  -15"," -256"
"nu20512118001/FPMB","02-Jul-19 04:58:09","02-Jul-19 04:59:51"," 103.00","  74.10"," 71.94","   45"," -224"
"nu20512119001/FPMA","02-Jul-19 05:00:38","02-Jul-19 05:02:19"," 102.00","  80.72"," 79.13"," -426"," -220"
"nu20512119001/FPMB","02-Jul-19 05:00:38","02-Jul-19 05:02:19"," 102.00","  69.37"," 68.01"," -384"," -168"
"nu20512120001/FPMA","02-Jul-19 05:03:07","02-Jul-19 05:04:47"," 101.00","  85.50"," 84.65"," -812"," -202"
"nu20512120001/FPMB","02-Jul-19 05:03:07","02-Jul-19 05:04:47"," 101.00","  76.27"," 75.52"," -790"," -190"
"nu20512121001/FPMA","02-Jul-19 05:05:37","02-Jul-19 05:07:19"," 103.00","  90.49"," 87.85"," -876"," -672"
"nu20512121001/FPMB","02-Jul-19 05:05:37","02-Jul-19 05:07:19"," 103.00","  84.48"," 82.02"," -809"," -645"
"nu20512122001/FPMA","02-Jul-19 05:08:06","02-Jul-19 05:09:47"," 102.00","  89.49"," 87.73"," -411"," -664"
"nu20512122001/FPMB","02-Jul-19 05:08:06","02-Jul-19 05:09:47"," 102.00","  84.42"," 82.77"," -384"," -591"
"nu20512123001/FPMA","02-Jul-19 05:10:35","02-Jul-19 05:12:15"," 101.00","  88.89"," 88.01","    3"," -657"
