NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20312001001/FPMA","21-Aug-17 18:49:58","21-Aug-17 19:19:59","1802.00","   4.69","  0.26","  396","    3"
"nu20312001001/FPMB","21-Aug-17 18:49:58","21-Aug-17 19:19:59","1802.00","   5.33","  0.30","  409","   47"
"nu20312002001/FPMA","21-Aug-17 19:20:23","21-Aug-17 19:50:03","1781.00","  45.83","  2.57","  399","  -11"
"nu20312002001/FPMB","21-Aug-17 19:20:23","21-Aug-17 19:50:03","1781.00","  44.35","  2.49","  409","   35"
