NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu80413201001/FPMA","07-Sep-18 14:56:57","07-Sep-18 15:56:40","2787.00","1136.94"," 40.79","  303","   70"
"nu80413201001/FPMB","07-Sep-18 14:56:57","07-Sep-18 15:56:40","2791.00"," 964.39"," 34.55","  340","  102"
"nu80413202001/FPMA","07-Sep-18 16:33:37","07-Sep-18 17:33:20","2691.00","1137.27"," 42.26","  301","   70"
"nu80413202001/FPMB","07-Sep-18 16:33:37","07-Sep-18 17:33:20","2692.00"," 962.10"," 35.74","  337","  106"
"nu80413203001/FPMA","07-Sep-18 18:10:16","07-Sep-18 19:10:00","2643.00","1163.80"," 44.03","  301","   77"
"nu80413203001/FPMB","07-Sep-18 18:10:16","07-Sep-18 19:10:00","2645.00"," 982.19"," 37.13","  330","  104"
"nu80414201001/FPMA","09-Sep-18 08:50:07","09-Sep-18 09:49:51","3583.00"," 695.60"," 19.41","  605","  126"
"nu80414201001/FPMB","09-Sep-18 08:50:07","09-Sep-18 09:49:51","3583.00"," 618.55"," 17.26","  637","  158"
"nu80414202001/FPMA","09-Sep-18 10:26:47","09-Sep-18 11:26:31","3186.00"," 496.57"," 15.59","  593","  124"
"nu80414202001/FPMB","09-Sep-18 10:26:47","09-Sep-18 11:26:31","3189.00"," 440.97"," 13.83","  632","  151"
"nu80414203001/FPMA","09-Sep-18 12:03:27","09-Sep-18 13:03:11","2969.00"," 247.95","  8.35","  596","  119"
"nu80414203001/FPMB","09-Sep-18 12:03:27","09-Sep-18 13:03:11","2973.00"," 232.58","  7.82","  632","  151"
"nu80415201001/FPMA","10-Sep-18 13:50:01","10-Sep-18 14:49:46","2765.00"," 322.50"," 11.66","  750","  121"
"nu80415201001/FPMB","10-Sep-18 13:50:01","10-Sep-18 14:49:46","2766.00"," 336.04"," 12.15","  787","  153"
"nu80415202001/FPMA","10-Sep-18 15:26:41","10-Sep-18 16:26:25","2679.00"," 551.61"," 20.59","  748","  124"
"nu80415202001/FPMB","10-Sep-18 15:26:41","10-Sep-18 16:26:25","2684.00"," 513.85"," 19.15","  780","  156"
"nu80415203001/FPMA","10-Sep-18 17:03:21","10-Sep-18 17:53:46","2076.00"," 460.10"," 22.16","  738","  124"
"nu80415203001/FPMB","10-Sep-18 17:03:21","10-Sep-18 17:53:46","2078.00"," 412.51"," 19.85","  770","  156"
