NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu21012001001/FPMA","16-Jul-24 11:03:03","16-Jul-24 12:03:27","3355.00","   5.79","  0.17"," 1156"," -180"
"nu21012001001/FPMB","16-Jul-24 11:03:03","16-Jul-24 12:03:26","3360.00","   5.00","  0.15"," 1156"," -143"
"nu21012002001/FPMA","16-Jul-24 12:39:10","16-Jul-24 12:55:43","3078.00","  19.91","  0.65"," 1092"," -183"
"nu21012002001/FPMB","16-Jul-24 12:39:10","16-Jul-24 13:12:15","3083.00","  19.07","  0.62"," 1109"," -148"
"nu21012003001/FPMA","16-Jul-24 14:57:06","16-Jul-24 15:15:37","2951.00","  29.42","  1.00"," 1193","  -74"
"nu21012003001/FPMB","16-Jul-24 14:51:15","16-Jul-24 15:15:38","2955.00","  29.39","  0.99"," 1195","  -99"
"nu21012004001/FPMA","16-Jul-24 15:51:33","16-Jul-24 16:51:54","2913.00","   4.14","  0.14"," -743"," -473"
"nu21012004001/FPMB","16-Jul-24 15:51:33","16-Jul-24 16:51:54","2918.00","   3.77","  0.13"," -760"," -428"
"nu21012005001/FPMA","16-Jul-24 17:27:33","16-Jul-24 17:48:34","1168.00","   1.74","  0.15","  537"," -301"
"nu21012005001/FPMB","16-Jul-24 17:27:34","16-Jul-24 17:48:34","1168.00","   1.71","  0.15","  519"," -266"
"nu21012006001/FPMA","16-Jul-24 19:03:39","16-Jul-24 20:04:01","3136.00","  25.46","  0.81","  632"," -286"
"nu21012006001/FPMB","16-Jul-24 19:03:39","16-Jul-24 20:04:01","3139.00","  25.57","  0.81","  623"," -259"
"nu21012007001/FPMA","17-Jul-24 04:40:18","17-Jul-24 05:40:38","3114.00","   4.04","  0.13","  613"," -377"
"nu21012007001/FPMB","17-Jul-24 04:40:18","17-Jul-24 05:40:38","3114.00","   4.22","  0.14","  642"," -347"
"nu21012008001/FPMA","17-Jul-24 06:16:24","17-Jul-24 06:32:04","3558.00","  29.05","  0.82","  554"," -374"
"nu21012008001/FPMB","17-Jul-24 06:16:24","17-Jul-24 06:31:57","3558.00","  29.04","  0.82","  578"," -347"
