NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu90311211001/FPMA","10-Oct-17 01:28:31","10-Oct-17 02:10:30","2466.00","  38.54","  1.56"," 1058","  195"
"nu90311211001/FPMB","10-Oct-17 01:28:31","10-Oct-17 02:10:30","2466.00","  42.32","  1.72"," 1080","  237"
"nu90311212001/FPMA","10-Oct-17 03:21:18","10-Oct-17 04:04:52","2606.99","  62.81","  2.41"," 1097","  190"
"nu90311212001/FPMB","10-Oct-17 03:21:18","10-Oct-17 04:04:52","2606.99","  70.06","  2.69"," 1119","  229"
"nu90311213001/FPMA","10-Oct-17 04:41:52","10-Oct-17 05:41:32","3581.00"," 113.54","  3.17"," 1085","  192"
"nu90311213001/FPMB","10-Oct-17 04:41:52","10-Oct-17 05:41:32","3581.00"," 122.33","  3.42"," 1114","  229"
