NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20110010001/FPMA","29-Apr-15 10:50:41","29-Apr-15 10:53:36"," 175.00","   3.05","  1.74","-1225"," -141"
"nu20110010001/FPMB","29-Apr-15 10:50:41","29-Apr-15 10:53:35"," 175.00","   3.08","  1.76","-1272"," -126"
"nu20110011001/FPMA","29-Apr-15 10:54:31","29-Apr-15 10:57:15"," 165.00","  13.43","  8.14"," -834","  325"
"nu20110011001/FPMB","29-Apr-15 10:54:31","29-Apr-15 10:57:15"," 165.00","  12.77","  7.74"," -876","  328"
"nu20110012001/FPMA","29-Apr-15 10:58:10","29-Apr-15 11:00:55"," 166.00","  12.23","  7.37"," -424","  773"
"nu20110012001/FPMB","29-Apr-15 10:58:10","29-Apr-15 11:00:55"," 166.00","  11.40","  6.87"," -473","  775"
"nu20110013001/FPMA","29-Apr-15 11:01:49","29-Apr-15 11:04:31"," 163.00","  17.52"," 10.75","  -20"," 1245"
"nu20110013001/FPMB","29-Apr-15 11:01:49","29-Apr-15 11:04:31"," 163.00","  15.41","  9.46","  -67"," 1240"
"nu20110014001/FPMA","29-Apr-15 11:05:28","29-Apr-15 11:08:11"," 164.00","  11.15","  6.80","  426","  856"
"nu20110014001/FPMB","29-Apr-15 11:05:28","29-Apr-15 11:08:11"," 164.00","  10.64","  6.49","  384","  859"
"nu20110015001/FPMA","29-Apr-15 11:09:07","29-Apr-15 11:11:51"," 165.00","   3.56","  2.16","   15","  394"
"nu20110015001/FPMB","29-Apr-15 11:09:07","29-Apr-15 11:11:51"," 165.00","   3.23","  1.96","  -28","  392"
"nu20110016001/FPMA","29-Apr-15 11:12:45","29-Apr-15 11:15:27"," 163.00","   6.05","  3.71"," -389","  -20"
"nu20110016001/FPMB","29-Apr-15 11:12:45","29-Apr-15 11:15:27"," 163.00","   5.33","  3.27"," -433","  -23"
"nu20110017001/FPMA","29-Apr-15 11:16:24","29-Apr-15 11:19:07"," 164.00","   2.22","  1.35"," -790"," -478"
"nu20110017001/FPMB","29-Apr-15 11:16:24","29-Apr-15 11:19:07"," 164.00","   1.74","  1.06"," -846"," -480"
"nu20110018001/FPMA","29-Apr-15 11:20:03","29-Apr-15 11:22:47"," 165.00","   8.77","  5.31"," -342"," -873"
"nu20110018001/FPMB","29-Apr-15 11:20:03","29-Apr-15 11:22:47"," 165.00","   7.35","  4.46"," -382"," -871"
"nu20110019001/FPMA","29-Apr-15 11:23:42","29-Apr-15 11:26:27"," 166.00","   6.85","  4.13","   70"," -419"
"nu20110019001/FPMB","29-Apr-15 11:23:42","29-Apr-15 11:26:27"," 166.00","   6.02","  3.63","   30"," -424"
"nu20110020001/FPMA","29-Apr-15 11:27:21","29-Apr-15 11:30:03"," 163.00","   3.00","  1.84","  487","   52"
"nu20110020001/FPMB","29-Apr-15 11:27:21","29-Apr-15 11:30:03"," 163.00","   2.60","  1.60","  458","   52"
"nu20110021001/FPMA","29-Apr-15 11:31:00","29-Apr-15 11:33:43"," 164.00","   3.58","  2.18","  868","  448"
"nu20110021001/FPMB","29-Apr-15 11:31:00","29-Apr-15 11:33:43"," 164.00","   3.29","  2.01","  824","  438"
"nu20110022001/FPMA","29-Apr-15 11:34:38","29-Apr-15 11:37:23"," 166.00","   2.43","  1.47"," 1311","   79"
"nu20110022001/FPMB","29-Apr-15 11:34:38","29-Apr-15 11:37:23"," 166.00","   1.48","  0.89"," 1249","   74"
"nu20110023001/FPMA","29-Apr-15 11:38:17","29-Apr-15 11:40:59"," 163.00","   0.59","  0.36","  969"," -283"
"nu20110023001/FPMB","29-Apr-15 11:38:17","29-Apr-15 11:40:59"," 163.00","   0.53","  0.32","  937"," -259"
"nu20110024001/FPMA","29-Apr-15 11:41:56","29-Apr-15 11:44:40"," 164.00","   6.43","  3.92","  546"," -802"
"nu20110024001/FPMB","29-Apr-15 11:41:56","29-Apr-15 11:44:39"," 164.00","   5.84","  3.56","  507"," -805"
"nu20110025001/FPMA","29-Apr-15 11:45:35","29-Apr-15 11:48:19"," 165.00","   8.05","  4.88","  131","-1262"
"nu20110025001/FPMB","29-Apr-15 11:45:35","29-Apr-15 11:48:19"," 165.00","   7.01","  4.25","   92","-1264"
"nu20110026001/FPMA","29-Apr-15 11:49:29","29-Apr-15 11:50:43","  75.00","   2.80","  3.73","   57","   -3"
"nu20110026001/FPMB","29-Apr-15 11:49:29","29-Apr-15 11:50:43","  75.00","   2.43","  3.24","   25","    3"
"nu20110030001/FPMA","29-Apr-15 12:27:25","29-Apr-15 12:30:35"," 191.00","   7.63","  3.99","  124","-1264"
"nu20110030001/FPMB","29-Apr-15 12:27:25","29-Apr-15 12:30:35"," 191.00","   6.48","  3.39","   82","-1272"
"nu20110031001/FPMA","29-Apr-15 12:31:31","29-Apr-15 12:34:15"," 165.00","   5.32","  3.22","  546"," -809"
"nu20110031001/FPMB","29-Apr-15 12:31:31","29-Apr-15 12:34:15"," 165.00","   4.60","  2.79","  510"," -817"
"nu20110032001/FPMA","29-Apr-15 12:35:10","29-Apr-15 12:37:55"," 166.00","   0.72","  0.43","  964"," -293"
"nu20110032001/FPMB","29-Apr-15 12:35:10","29-Apr-15 12:37:55"," 166.00","   0.61","  0.37","  930"," -286"
"nu20110033001/FPMA","29-Apr-15 12:38:49","29-Apr-15 12:41:31"," 163.00","   3.10","  1.90"," 1306","   74"
"nu20110033001/FPMB","29-Apr-15 12:38:49","29-Apr-15 12:41:31"," 163.00","   1.63","  1.00"," 1254","   89"
"nu20110034001/FPMA","29-Apr-15 12:42:29","29-Apr-15 12:45:11"," 163.00","   3.94","  2.42","  873","  443"
"nu20110034001/FPMB","29-Apr-15 12:42:29","29-Apr-15 12:45:11"," 163.00","   3.59","  2.20","  819","  455"
"nu20110035001/FPMA","29-Apr-15 12:46:07","29-Apr-15 12:48:50"," 160.00","   3.18","  1.99","  487","   30"
"nu20110035001/FPMB","29-Apr-15 12:46:07","29-Apr-15 12:48:50"," 160.00","   2.65","  1.66","  448","   35"
"nu20110036001/FPMA","29-Apr-15 12:49:45","29-Apr-15 12:52:27"," 159.00","   4.70","  2.95","   74"," -433"
"nu20110036001/FPMB","29-Apr-15 12:49:45","29-Apr-15 12:52:27"," 159.00","   3.86","  2.43","   33"," -421"
"nu20110037001/FPMA","29-Apr-15 12:53:24","29-Apr-15 12:56:07"," 164.00","   6.53","  3.98"," -337"," -876"
"nu20110037001/FPMB","29-Apr-15 12:53:24","29-Apr-15 12:56:07"," 164.00","   5.48","  3.34"," -372"," -868"
"nu20110038001/FPMA","29-Apr-15 12:57:04","29-Apr-15 12:59:47"," 164.00","   1.02","  0.62"," -797"," -433"
"nu20110038001/FPMB","29-Apr-15 12:57:04","29-Apr-15 12:59:48"," 164.00","   0.82","  0.50"," -839"," -424"
"nu20110039001/FPMA","29-Apr-15 13:00:42","29-Apr-15 13:03:27"," 166.00","   4.96","  2.99"," -372","  -20"
"nu20110039001/FPMB","29-Apr-15 13:00:42","29-Apr-15 13:03:27"," 166.00","   4.29","  2.58"," -416","  -18"
"nu20110040001/FPMA","29-Apr-15 13:04:21","29-Apr-15 13:07:03"," 163.00","   3.82","  2.35","   38","  416"
"nu20110040001/FPMB","29-Apr-15 13:04:21","29-Apr-15 13:07:03"," 163.00","   3.54","  2.17","   -3","  411"
"nu20110041001/FPMA","29-Apr-15 13:08:00","29-Apr-15 13:10:43"," 164.00","  10.48","  6.39","  443","  868"
"nu20110041001/FPMB","29-Apr-15 13:08:00","29-Apr-15 13:10:43"," 164.00","   9.89","  6.03","  396","  868"
"nu20110042001/FPMA","29-Apr-15 13:11:39","29-Apr-15 13:14:23"," 165.00","  16.69"," 10.11","    1"," 1269"
"nu20110042001/FPMB","29-Apr-15 13:11:39","29-Apr-15 13:14:23"," 165.00","  14.88","  9.02","  -35"," 1262"
"nu20110043001/FPMA","29-Apr-15 13:15:17","29-Apr-15 13:17:59"," 163.00","  12.81","  7.86"," -404","  792"
"nu20110043001/FPMB","29-Apr-15 13:15:17","29-Apr-15 13:17:59"," 163.00","  11.32","  6.94"," -448","  792"
"nu20110044001/FPMA","29-Apr-15 13:18:56","29-Apr-15 13:21:39"," 164.00","   5.19","  3.16"," -792","  330"
"nu20110044001/FPMB","29-Apr-15 13:18:56","29-Apr-15 13:21:40"," 164.00","   5.28","  3.22"," -844","  330"
"nu20110045001/FPMA","29-Apr-15 13:22:35","29-Apr-15 13:25:19"," 165.00","   0.73","  0.44","-1163"," -151"
"nu20110045001/FPMB","29-Apr-15 13:22:35","29-Apr-15 13:25:19"," 165.00","   1.36","  0.83","-1227"," -129"
"nu20110046001/FPMA","29-Apr-15 13:26:28","29-Apr-15 13:27:29","  62.00","   1.63","  2.63","   74","  -11"
"nu20110046001/FPMB","29-Apr-15 13:26:28","29-Apr-15 13:27:29","  62.00","   1.37","  2.21","   23","  -13"
