NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20612001001/FPMA","08-Jan-21 10:12:50","08-Jan-21 11:13:56","3067.00"," 201.40","  6.57","  733"," -308"
"nu20612001001/FPMB","08-Jan-21 10:12:50","08-Jan-21 11:13:56","3071.00"," 189.82","  6.18","  775"," -271"
"nu20612002001/FPMA","08-Jan-21 11:49:37","08-Jan-21 12:50:41","3664.00","2380.08"," 64.96"," -883","  151"
"nu20612002001/FPMB","08-Jan-21 11:49:37","08-Jan-21 12:50:41","3664.00","2231.99"," 60.92"," -846","  183"
"nu20612003001/FPMA","08-Jan-21 13:26:15","08-Jan-21 14:27:20","3666.00","2397.38"," 65.40"," -878","  151"
"nu20612003001/FPMB","08-Jan-21 13:26:15","08-Jan-21 14:27:20","3666.00","2204.67"," 60.14"," -841","  183"
"nu20612004001/FPMA","08-Jan-21 15:02:54","08-Jan-21 16:03:59","3666.00","2572.43"," 70.17"," -876","  143"
"nu20612004001/FPMB","08-Jan-21 15:02:54","08-Jan-21 16:03:59","3666.00","2386.31"," 65.09"," -841","  175"
"nu20613001001/FPMA","14-Jan-21 09:34:21","14-Jan-21 10:35:15","3611.00","1360.96"," 37.69"," -303"," -288"
"nu20613001001/FPMB","14-Jan-21 09:34:21","14-Jan-21 10:35:15","3611.00","1142.03"," 31.63"," -266"," -251"
"nu20613002001/FPMA","14-Jan-21 11:11:00","14-Jan-21 11:56:55","2738.00","1165.84"," 42.58"," -315"," -298"
"nu20613002001/FPMB","14-Jan-21 11:11:00","14-Jan-21 11:56:55","2738.00"," 993.34"," 36.28"," -271"," -261"
"nu20613003001/FPMA","14-Jan-21 11:57:53","14-Jan-21 12:11:51"," 534.00"," 426.23"," 79.82","  183","  308"
"nu20613003001/FPMB","14-Jan-21 11:57:53","14-Jan-21 12:11:51"," 534.00"," 416.93"," 78.08","  227","  342"
"nu20613004001/FPMA","14-Jan-21 12:47:40","14-Jan-21 13:32:43","2704.00"," 927.56"," 34.30"," -601"," -546"
"nu20613004001/FPMB","14-Jan-21 12:47:40","14-Jan-21 13:32:43","2704.00"," 764.36"," 28.27"," -564"," -512"
"nu20613005001/FPMA","14-Jan-21 14:34:36","14-Jan-21 15:25:12","3036.75","1118.59"," 36.83"," -573"," -551"
"nu20613005001/FPMB","14-Jan-21 14:34:36","14-Jan-21 15:25:12","3036.75"," 953.35"," 31.39"," -537"," -517"
"nu20614001001/FPMA","20-Jan-21 10:32:05","20-Jan-21 11:32:25","3621.00","1305.88"," 36.06","  770"," -384"
"nu20614001001/FPMB","20-Jan-21 10:32:05","20-Jan-21 11:32:25","3621.00","1114.82"," 30.79","  807"," -350"
"nu20614002001/FPMA","20-Jan-21 12:08:50","20-Jan-21 13:09:10","3551.00","  50.98","  1.44"," -888"," -298"
"nu20614002001/FPMB","20-Jan-21 12:08:50","20-Jan-21 13:09:10","3551.00","  49.15","  1.38"," -836"," -261"
"nu20614003001/FPMA","20-Jan-21 13:45:29","20-Jan-21 14:45:48","3620.00","  81.42","  2.25"," -866"," -298"
"nu20614003001/FPMB","20-Jan-21 13:45:29","20-Jan-21 14:45:48","3620.00","  78.61","  2.17"," -832"," -264"
