NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20801031001/FPMA","28-Dec-23 14:18:49","28-Dec-23 15:19:19","3547.00","  12.02","  0.34","  610"," -207"
"nu20801031001/FPMB","28-Dec-23 14:18:49","28-Dec-23 15:19:19","3547.00","  10.27","  0.29","  578"," -183"
"nu20801032001/FPMA","28-Dec-23 15:55:05","28-Dec-23 16:55:37","3263.00","  13.25","  0.41","  623"," -205"
"nu20801032001/FPMB","28-Dec-23 15:55:05","28-Dec-23 16:55:37","3263.00","  11.40","  0.35","  591"," -185"
"nu20801034001/FPMA","28-Dec-23 20:01:54","28-Dec-23 20:08:10"," 331.00","   1.71","  0.52","  709"," -205"
"nu20801034001/FPMB","28-Dec-23 20:01:54","28-Dec-23 20:08:10"," 331.00","   1.71","  0.52","  664"," -188"
"nu20801035001/FPMA","28-Dec-23 20:43:55","28-Dec-23 21:44:27","2493.00","  13.78","  0.55","  620"," -210"
"nu20801035001/FPMB","28-Dec-23 20:43:55","28-Dec-23 21:44:27","2493.00","  13.10","  0.53","  586"," -192"
"nu20801036001/FPMA","28-Dec-23 22:20:12","28-Dec-23 23:20:44","3540.00","  11.97","  0.34","  637"," -205"
"nu20801036001/FPMB","28-Dec-23 22:20:12","28-Dec-23 23:20:44","3540.00","  12.04","  0.34","  605"," -190"
"nu20801037001/FPMA","28-Dec-23 23:56:28","29-Dec-23 00:57:01","3618.00","  11.60","  0.32","  610"," -197"
"nu20801037001/FPMB","28-Dec-23 23:56:28","29-Dec-23 00:57:01","3618.00","  11.49","  0.32","  588"," -183"
"nu20801038001/FPMA","29-Dec-23 01:32:46","29-Dec-23 02:33:18","3608.00","  11.70","  0.32","  650"," -205"
"nu20801038001/FPMB","29-Dec-23 01:32:46","29-Dec-23 02:33:18","3608.00","  12.13","  0.34","  610"," -190"
