NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20101015001/FPMA","22-Apr-16 17:11:10","22-Apr-16 17:19:59"," 530.00","  61.17"," 11.54","  286","  261"
"nu20101015001/FPMB","22-Apr-16 17:11:10","22-Apr-16 17:19:59"," 530.00","  62.71"," 11.83","  247","  288"
"nu20101017001/FPMA","22-Apr-16 17:20:59","22-Apr-16 18:11:22","2171.00"," 142.51","  6.56"," 1082","  146"
"nu20101017001/FPMB","22-Apr-16 17:20:59","22-Apr-16 18:11:22","2172.00"," 110.03","  5.07"," 1050","  175"
"nu20101018001/FPMA","22-Apr-16 18:47:49","22-Apr-16 19:48:05","2918.00"," 290.60","  9.96"," 1195","  121"
"nu20101018001/FPMB","22-Apr-16 18:47:49","22-Apr-16 19:48:05","2921.00"," 214.38","  7.34"," 1156","  143"
"nu20101019001/FPMA","22-Apr-16 20:24:32","22-Apr-16 21:04:59","2428.00"," 221.24","  9.11"," 1183","  121"
"nu20101019001/FPMB","22-Apr-16 20:24:32","22-Apr-16 21:04:59","2428.00"," 176.35","  7.26"," 1154","  146"
"nu20101016001/FPMA","22-Apr-16 21:06:06","22-Apr-16 21:24:51"," 846.00","  65.52","  7.75","  342","  254"
"nu20101016001/FPMB","22-Apr-16 21:06:06","22-Apr-16 21:24:51"," 850.00","  61.28","  7.21","  313","  278"
"nu20101020001/FPMA","22-Apr-16 22:01:15","22-Apr-16 23:01:30","3615.00"," 298.98","  8.27"," 1193","  126"
"nu20101020001/FPMB","22-Apr-16 22:01:15","22-Apr-16 23:01:30","3615.00"," 245.03","  6.78"," 1156","  146"
