NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20102011001/FPMA","19-Feb-16 18:54:51","19-Feb-16 19:54:58","3261.00","  93.85","  2.88"," 1171","  308"
"nu20102011001/FPMB","19-Feb-16 18:54:51","19-Feb-16 19:54:58","3264.00","  66.51","  2.04"," 1151","  269"
"nu20102012001/FPMA","19-Feb-16 20:31:34","19-Feb-16 21:22:30","3058.00","  54.48","  1.78"," 1163","  303"
"nu20102012001/FPMB","19-Feb-16 20:31:34","19-Feb-16 21:22:32","3059.00","  41.15","  1.35"," 1136","  266"
"nu20102013001/FPMA","19-Feb-16 22:08:17","19-Feb-16 23:04:01","3346.00","  63.88","  1.91"," 1186","  308"
"nu20102013001/FPMB","19-Feb-16 22:08:17","19-Feb-16 23:04:04","3348.00","  50.12","  1.50"," 1158","  264"
"nu20102014001/FPMA","19-Feb-16 23:45:01","20-Feb-16 00:09:59","1499.00","  43.04","  2.87"," 1129","  310"
"nu20102014001/FPMB","19-Feb-16 23:45:01","20-Feb-16 00:09:59","1499.00","  32.21","  2.15"," 1109","  256"
