NS ID,Start Time,End Time,On Time [s],Duration [s],Livetime [%],X [S/C],Y [S/C]
"nu20102011001","19-Feb-16 18:54:52","19-Feb-16 19:55:00",3261.00,93.8486,2.87791,1171.29,308.492
"nu20102012001","19-Feb-16 20:31:35","19-Feb-16 21:22:30",3057.00,54.4652,1.78166,1159.00,308.492
"nu20102013001","19-Feb-16 22:08:18","19-Feb-16 23:04:01",3345.00,63.8577,1.90905,1186.04,306.034
"nu20102014001","19-Feb-16 23:45:01","20-Feb-16 00:09:59",1499.00,43.0446,2.87155,1127.04,315.867
