NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20511101001/FPMA","25-Apr-19 22:10:47","25-Apr-19 22:11:35","  49.00","  45.05"," 91.94"," -908","  994"
"nu20511101001/FPMB","25-Apr-19 22:10:47","25-Apr-19 22:11:35","  49.00","  44.65"," 91.12"," -814"," 1053"
"nu20511102001/FPMA","25-Apr-19 22:12:21","25-Apr-19 22:14:03"," 103.00","  93.32"," 90.60"," -514","  920"
"nu20511102001/FPMB","25-Apr-19 22:12:21","25-Apr-19 22:14:03"," 103.00","  92.68"," 89.98"," -426"," 1006"
"nu20511103001/FPMA","25-Apr-19 22:14:49","25-Apr-19 22:16:31"," 103.00","  94.39"," 91.64","  -43","  959"
"nu20511103001/FPMB","25-Apr-19 22:14:49","25-Apr-19 22:16:31"," 103.00","  93.47"," 90.75","   13","  967"
"nu20511104001/FPMA","25-Apr-19 22:17:18","25-Apr-19 22:18:59"," 102.00","  93.00"," 91.18","  455","  925"
"nu20511104001/FPMB","25-Apr-19 22:17:18","25-Apr-19 22:18:59"," 102.00","  92.22"," 90.41","  495","  986"
"nu20511105001/FPMA","25-Apr-19 22:19:47","25-Apr-19 22:21:26"," 102.00","  93.28"," 91.45","  910","  964"
"nu20511105001/FPMB","25-Apr-19 22:19:46","25-Apr-19 22:21:27"," 102.00","  92.87"," 91.05","  873"," 1011"
"nu20511106001/FPMA","25-Apr-19 22:22:15","25-Apr-19 22:23:55"," 101.00","  91.74"," 90.83","  839","  527"
"nu20511106001/FPMB","25-Apr-19 22:22:15","25-Apr-19 22:23:55"," 101.00","  91.49"," 90.58","  930","  544"
"nu20511107001/FPMA","25-Apr-19 22:24:43","25-Apr-19 22:26:23"," 101.00","  92.28"," 91.37","  355","  569"
"nu20511107001/FPMB","25-Apr-19 22:24:43","25-Apr-19 22:26:23"," 101.00","  91.40"," 90.50","  455","  608"
"nu20511108001/FPMA","25-Apr-19 22:27:11","25-Apr-19 22:28:51"," 101.00","  92.75"," 91.83","  -84","  610"
"nu20511108001/FPMB","25-Apr-19 22:27:12","25-Apr-19 22:28:51"," 101.00","  91.83"," 90.92","  -18","  608"
"nu20511109001/FPMA","25-Apr-19 22:29:40","25-Apr-19 22:31:19"," 100.00","  91.75"," 91.75"," -505","  569"
"nu20511109001/FPMB","25-Apr-19 22:29:40","25-Apr-19 22:31:19"," 100.00","  90.87"," 90.87"," -492","  637"
"nu20511110001/FPMA","25-Apr-19 22:32:08","25-Apr-19 22:33:51"," 104.00","  92.78"," 89.21"," -927","  551"
"nu20511110001/FPMB","25-Apr-19 22:32:08","25-Apr-19 22:33:51"," 104.00","  91.18"," 87.68"," -918","  529"
"nu20511111001/FPMA","25-Apr-19 22:34:37","25-Apr-19 22:36:18"," 103.00","  93.79"," 91.06"," -940","  146"
"nu20511111001/FPMB","25-Apr-19 22:34:37","25-Apr-19 22:36:19"," 103.00","  92.75"," 90.05"," -923","  133"
"nu20511112001/FPMA","25-Apr-19 22:37:05","25-Apr-19 22:38:47"," 103.00","  95.19"," 92.42"," -448","  163"
"nu20511112001/FPMB","25-Apr-19 22:37:05","25-Apr-19 22:38:47"," 103.00","  94.51"," 91.76"," -470","  163"
"nu20511113001/FPMA","25-Apr-19 22:39:34","25-Apr-19 22:41:15"," 103.00","  95.14"," 92.37","    6","  119"
"nu20511113001/FPMB","25-Apr-19 22:39:33","25-Apr-19 22:41:15"," 103.00","  94.22"," 91.48","   43","  126"
"nu20511114001/FPMA","25-Apr-19 22:42:02","25-Apr-19 22:43:43"," 102.00","  93.63"," 91.79","  460","   82"
"nu20511114001/FPMB","25-Apr-19 22:42:02","25-Apr-19 22:43:43"," 102.00","  91.79"," 89.99","  441","   97"
"nu20511115001/FPMA","25-Apr-19 22:44:30","25-Apr-19 22:46:11"," 102.00","  92.29"," 90.48","  844","  116"
"nu20511115001/FPMB","25-Apr-19 22:44:30","25-Apr-19 22:46:11"," 102.00","  90.64"," 88.87","  854","  148"
"nu20511116001/FPMA","25-Apr-19 22:46:59","25-Apr-19 22:48:39"," 101.00","  91.87"," 90.96","  832"," -298"
"nu20511116001/FPMB","25-Apr-19 22:46:59","25-Apr-19 22:48:38"," 101.00","  91.26"," 90.36","  893"," -308"
"nu20511117001/FPMA","25-Apr-19 22:49:27","25-Apr-19 22:51:07"," 101.00","  93.00"," 92.08","  458"," -298"
"nu20511117001/FPMB","25-Apr-19 22:49:27","25-Apr-19 22:51:06"," 101.00","  91.97"," 91.06","  419"," -271"
"nu20511118001/FPMA","25-Apr-19 22:51:56","25-Apr-19 22:53:34"," 101.00","  92.99"," 92.07","    3"," -286"
"nu20511118001/FPMB","25-Apr-19 22:51:56","25-Apr-19 22:53:35"," 101.00","  92.06"," 91.15","   -8"," -242"
"nu20511119001/FPMA","25-Apr-19 22:54:24","25-Apr-19 22:56:03"," 100.00","  92.15"," 92.15"," -458"," -293"
"nu20511119001/FPMB","25-Apr-19 22:54:24","25-Apr-19 22:56:03"," 100.00","  91.53"," 91.53"," -451"," -308"
"nu20511120001/FPMA","25-Apr-19 22:56:53","25-Apr-19 22:58:31"," 100.00","  92.12"," 92.12"," -871"," -318"
"nu20511120001/FPMB","25-Apr-19 22:56:52","25-Apr-19 22:58:31"," 100.00","  91.43"," 91.43"," -893"," -291"
"nu20511121001/FPMA","25-Apr-19 22:59:21","25-Apr-19 23:01:03"," 103.00","  95.34"," 92.56"," -935"," -733"
"nu20511121001/FPMB","25-Apr-19 22:59:21","25-Apr-19 23:01:02"," 103.00","  94.05"," 91.31"," -873"," -709"
"nu20511122001/FPMA","25-Apr-19 23:01:49","25-Apr-19 23:03:31"," 103.00","  94.79"," 92.03"," -426"," -785"
"nu20511122001/FPMB","25-Apr-19 23:01:49","25-Apr-19 23:03:31"," 103.00","  93.66"," 90.93"," -399"," -763"
"nu20511123001/FPMA","25-Apr-19 23:04:17","25-Apr-19 23:05:59"," 103.00","  94.34"," 91.59","  -57"," -770"
"nu20511123001/FPMB","25-Apr-19 23:04:17","25-Apr-19 23:05:59"," 103.00","  93.22"," 90.51","   20"," -758"
"nu20511124001/FPMA","25-Apr-19 23:06:46","25-Apr-19 23:08:27"," 102.00","  93.27"," 91.44","  465"," -785"
"nu20511124001/FPMB","25-Apr-19 23:06:46","25-Apr-19 23:08:27"," 102.00","  91.51"," 89.71","  492"," -750"
"nu20511125001/FPMA","25-Apr-19 23:09:14","25-Apr-19 23:10:46","  93.00","  84.38"," 90.73","  819"," -790"
"nu20511125001/FPMB","25-Apr-19 23:09:14","25-Apr-19 23:10:46","  93.00","  83.70"," 90.00","  876"," -731"
"nu20511201001/FPMA","25-Apr-19 23:47:28","25-Apr-19 23:48:15","  49.00","  44.98"," 91.80"," -834","  982"
"nu20511201001/FPMB","25-Apr-19 23:47:27","25-Apr-19 23:48:15","  49.00","  44.43"," 90.67"," -846","  972"
