NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20621001001/FPMA","24-Feb-22 14:58:03","24-Feb-22 15:57:35","2784.00","  59.34","  2.13"," -660","  313"
"nu20621001001/FPMB","24-Feb-22 14:58:03","24-Feb-22 15:57:35","2788.00","  46.92","  1.68"," -635","  340"
"nu20621002001/FPMA","24-Feb-22 16:34:39","24-Feb-22 17:34:11","2687.00","  54.47","  2.03"," -667","  306"
"nu20621002001/FPMB","24-Feb-22 16:34:39","24-Feb-22 17:34:11","2690.00","  43.85","  1.63"," -642","  335"
"nu20621003001/FPMA","24-Feb-22 18:11:16","24-Feb-22 19:10:47","2635.00","  53.56","  2.03"," -672","  308"
"nu20621003001/FPMB","24-Feb-22 18:11:16","24-Feb-22 19:10:47","2640.00","  42.66","  1.62"," -645","  333"
"nu20621004001/FPMA","24-Feb-22 19:47:52","24-Feb-22 20:47:24","2631.00","  47.89","  1.82"," -662","  306"
"nu20621004001/FPMB","24-Feb-22 19:47:52","24-Feb-22 20:47:23","2633.00","  37.13","  1.41"," -645","  333"
"nu20622001001/FPMA","25-Feb-22 15:07:05","25-Feb-22 16:06:36","2753.00","  60.18","  2.19"," -436","  313"
"nu20622001001/FPMB","25-Feb-22 15:07:05","25-Feb-22 16:06:35","2755.00","  53.77","  1.95"," -409","  342"
"nu20622002001/FPMA","25-Feb-22 16:43:41","25-Feb-22 17:43:11","2666.00","  61.27","  2.30"," -441","  303"
"nu20622002001/FPMB","25-Feb-22 16:43:41","25-Feb-22 17:43:11","2667.00","  52.48","  1.97"," -414","  333"
"nu20622003001/FPMA","25-Feb-22 18:20:17","25-Feb-22 19:19:48","2635.00","  56.02","  2.13"," -438","  308"
"nu20622003001/FPMB","25-Feb-22 18:20:17","25-Feb-22 19:19:48","2640.00","  47.93","  1.82"," -414","  337"
"nu20622004001/FPMA","25-Feb-22 19:56:53","25-Feb-22 20:56:24","2664.00","  38.97","  1.46"," -443","  310"
"nu20622004001/FPMB","25-Feb-22 19:56:53","25-Feb-22 20:56:24","2667.00","  33.37","  1.25"," -421","  340"
"nu20623001001/FPMA","26-Feb-22 20:05:54","26-Feb-22 21:05:24","2738.00","  97.12","  3.55","  -33","  382"
"nu20623001001/FPMB","26-Feb-22 20:05:54","26-Feb-22 21:05:24","2739.00","  98.35","  3.59","  -25","  419"
"nu20623002001/FPMA","26-Feb-22 21:42:30","26-Feb-22 22:35:32","3183.00","  74.98","  2.36","  -30","  374"
"nu20623002001/FPMB","26-Feb-22 21:42:30","26-Feb-22 22:35:36","3187.00","  72.28","  2.27","  -33","  414"
"nu20623003001/FPMA","26-Feb-22 23:19:07","27-Feb-22 00:18:36","3564.00"," 127.68","  3.58","  -33","  377"
"nu20623003001/FPMB","26-Feb-22 23:19:07","27-Feb-22 00:18:36","3564.00"," 121.46","  3.41","  -25","  414"
"nu20623004001/FPMA","27-Feb-22 00:55:40","27-Feb-22 01:55:10","3555.00"," 454.81"," 12.79","  898"," -411"
"nu20623004001/FPMB","27-Feb-22 00:55:40","27-Feb-22 01:55:10","3555.00"," 370.00"," 10.41","  895"," -377"
