NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20624001001/FPMA","03-Jun-22 13:30:02","03-Jun-22 14:30:47","2759.00","  42.84","  1.55"," -701"," -505"
"nu20624001001/FPMB","03-Jun-22 13:30:02","03-Jun-22 14:30:47","2756.00","  36.75","  1.33"," -677"," -537"
"nu20624002001/FPMA","03-Jun-22 15:06:30","03-Jun-22 16:01:16","2392.00","  74.70","  3.12","  615","   87"
"nu20624002001/FPMB","03-Jun-22 15:06:30","03-Jun-22 16:01:16","2391.00","  70.80","  2.96","  630","   52"
"nu20625005001/FPMA","03-Jun-22 16:52:00","03-Jun-22 16:53:39","  99.75","  11.29"," 11.32","  664"," -982"
"nu20625005001/FPMB","03-Jun-22 16:52:00","03-Jun-22 16:53:39","  99.75","  12.69"," 12.72","  682","-1016"
"nu20625006001/FPMA","03-Jun-22 16:54:27","03-Jun-22 16:56:07"," 101.00","  10.24"," 10.14","  237"," -878"
"nu20625006001/FPMB","03-Jun-22 16:54:27","03-Jun-22 16:56:07"," 101.00","  11.47"," 11.35","  254"," -913"
"nu20625007001/FPMA","03-Jun-22 16:56:55","03-Jun-22 16:58:35"," 101.00","   2.44","  2.41","  362"," -451"
"nu20625007001/FPMB","03-Jun-22 16:56:55","03-Jun-22 16:58:35"," 101.00","   2.55","  2.53","  355"," -483"
"nu20625008001/FPMA","03-Jun-22 16:59:24","03-Jun-22 17:01:07"," 104.00","   4.73","  4.55","  480","  -60"
"nu20625008001/FPMB","03-Jun-22 16:59:24","03-Jun-22 17:01:08"," 104.00","   3.77","  3.63","  485","  -92"
"nu20625009001/FPMA","03-Jun-22 17:01:53","03-Jun-22 17:03:36"," 103.00","   3.53","  3.43","  620","  337"
"nu20625009001/FPMB","03-Jun-22 17:01:53","03-Jun-22 17:03:35"," 103.00","   3.00","  2.91","  635","  310"
"nu20625010001/FPMA","03-Jun-22 17:04:22","03-Jun-22 17:06:03"," 102.00","   6.21","  6.09","  750","  773"
