NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20001002001/FPMA","01-Nov-14 16:44:23","01-Nov-14 17:44:38","3090.00","  31.09","  1.01","  -28","  945"
"nu20001002001/FPMB","01-Nov-14 16:44:23","01-Nov-14 17:44:37","3091.00","  30.19","  0.98","   -1","  979"
"nu20001003001/FPMA","01-Nov-14 18:21:07","01-Nov-14 20:45:29","5785.00","  28.23","  0.49"," 1217"," -313"
"nu20001003001/FPMB","01-Nov-14 18:21:07","01-Nov-14 20:45:32","5791.00","  34.22","  0.59"," 1247"," -286"
"nu20012001001/FPMA","01-Nov-14 21:34:49","01-Nov-14 21:47:59"," 791.00","   3.11","  0.39","  950"," -227"
"nu20012001001/FPMB","01-Nov-14 21:34:49","01-Nov-14 21:47:59"," 791.00","   2.78","  0.35","  979"," -195"
"nu20012002001/FPMA","01-Nov-14 21:48:52","01-Nov-14 22:00:59"," 727.00","  11.87","  1.63","  883","  337"
"nu20012002001/FPMB","01-Nov-14 21:48:52","01-Nov-14 22:00:59"," 727.00","  11.00","  1.51","  913","  367"
"nu20012003001/FPMA","01-Nov-14 22:01:46","01-Nov-14 22:14:00"," 734.00","  28.54","  3.89","  519","  785"
"nu20012003001/FPMB","01-Nov-14 22:01:46","01-Nov-14 22:13:59"," 734.00","  26.95","  3.67","  542","  812"
"nu20012004002/FPMA","01-Nov-14 22:14:52","01-Nov-14 22:28:08"," 798.00","  27.22","  3.41","  -40","  952"
"nu20012004002/FPMB","01-Nov-14 22:14:52","01-Nov-14 22:28:12"," 801.00","  27.24","  3.40","  -15","  979"
