NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu21011015001/FPMA","30-Jun-24 17:01:44","30-Jun-24 18:01:23","3559.00","   8.30","  0.23","  190"," -131"
"nu21011015001/FPMB","30-Jun-24 17:01:44","30-Jun-24 18:01:22","3559.00","   8.27","  0.23","  148"," -121"
"nu21011016001/FPMA","30-Jun-24 18:37:51","30-Jun-24 19:37:29","3288.00","   8.97","  0.27","  215"," -133"
"nu21011016001/FPMB","30-Jun-24 18:37:51","30-Jun-24 19:37:29","3291.00","   8.94","  0.27","  175"," -129"
"nu21011017001/FPMA","30-Jun-24 20:13:57","30-Jun-24 21:13:35","3032.00","   6.86","  0.23","  200"," -138"
"nu21011017001/FPMB","30-Jun-24 20:13:57","30-Jun-24 21:13:36","3035.00","   6.82","  0.22","  168"," -129"
