NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu80310211001/FPMA","11-Sep-17 15:55:54","11-Sep-17 16:55:28","3574.00","  13.71","  0.38"," 1107"," -323"
"nu80310211001/FPMB","11-Sep-17 15:55:54","11-Sep-17 16:55:28","3574.00","  16.68","  0.47"," 1141"," -306"
"nu80310212001/FPMA","11-Sep-17 17:32:35","11-Sep-17 18:32:07","3140.00","  16.26","  0.52"," 1102"," -320"
"nu80310212001/FPMB","11-Sep-17 17:32:35","11-Sep-17 18:32:07","3145.00","  19.67","  0.63"," 1139"," -303"
"nu80310213001/FPMA","11-Sep-17 19:09:15","11-Sep-17 20:08:47","2933.00","  19.44","  0.66"," 1095"," -318"
"nu80310213001/FPMB","11-Sep-17 19:09:15","11-Sep-17 20:08:47","2937.00","  22.95","  0.78"," 1134"," -310"
"nu80310214001/FPMA","11-Sep-17 20:45:56","11-Sep-17 21:36:18","3023.00","  22.11","  0.73"," 1090"," -318"
"nu80310214001/FPMB","11-Sep-17 20:45:56","11-Sep-17 21:36:24","3029.00","  26.54","  0.88"," 1129"," -301"
"nu80310228001/FPMA","12-Sep-17 19:19:22","12-Sep-17 20:18:54","2860.00"," 119.21","  4.17"," 1033"," -399"
"nu80310228001/FPMB","12-Sep-17 19:19:22","12-Sep-17 20:18:54","2864.00"," 135.28","  4.72"," 1072"," -382"
"nu80310229001/FPMA","12-Sep-17 20:56:02","12-Sep-17 21:46:21","3020.00"," 198.05","  6.56"," 1055"," -396"
"nu80310229001/FPMB","12-Sep-17 20:56:02","12-Sep-17 21:46:24","3023.00"," 230.14","  7.61"," 1095"," -382"
"nu80310230001/FPMA","12-Sep-17 22:32:43","12-Sep-17 23:28:27","3343.00"," 392.23"," 11.73"," 1050"," -401"
"nu80310230001/FPMB","12-Sep-17 22:32:43","12-Sep-17 23:28:32","3348.00"," 457.33"," 13.66"," 1097"," -384"
"nu80310231001/FPMA","13-Sep-17 00:09:23","13-Sep-17 01:08:55","3564.00"," 394.70"," 11.07"," 1063"," -396"
"nu80310231001/FPMB","13-Sep-17 00:09:23","13-Sep-17 01:08:55","3564.00"," 462.06"," 12.96"," 1100"," -379"
"nu80310232001/FPMA","13-Sep-17 01:46:03","13-Sep-17 02:45:35","3572.00"," 432.94"," 12.12"," 1087"," -303"
"nu80310232001/FPMB","13-Sep-17 01:46:03","13-Sep-17 02:45:35","3572.00"," 478.45"," 13.39"," 1124"," -288"
"nu80310241001/FPMA","13-Sep-17 16:16:07","13-Sep-17 17:15:39","3214.00"," 936.93"," 29.15"," 1092"," -281"
"nu80310241001/FPMB","13-Sep-17 16:16:07","13-Sep-17 17:15:39","3217.00"," 983.49"," 30.57"," 1124"," -261"
"nu80310242001/FPMA","13-Sep-17 17:52:48","13-Sep-17 18:52:20","2974.00","1359.26"," 45.70"," 1080"," -281"
"nu80310242001/FPMB","13-Sep-17 17:52:48","13-Sep-17 18:52:20","2977.00","1463.92"," 49.17"," 1112"," -261"
"nu80310243001/FPMA","13-Sep-17 19:29:28","13-Sep-17 20:29:00","2805.00","1254.22"," 44.71"," 1077"," -274"
"nu80310243001/FPMB","13-Sep-17 19:29:28","13-Sep-17 20:29:00","2809.00","1360.31"," 48.43"," 1109"," -254"
"nu80310244001/FPMA","13-Sep-17 21:06:09","13-Sep-17 21:56:40","3032.00","1097.19"," 36.19"," 1085"," -271"
"nu80310244001/FPMB","13-Sep-17 21:06:09","13-Sep-17 21:56:44","3036.00","1231.86"," 40.58"," 1117"," -251"
"nu80310245001/FPMA","13-Sep-17 22:42:49","13-Sep-17 23:38:55","3367.00","1387.62"," 41.21"," 1085"," -274"
"nu80310245001/FPMB","13-Sep-17 22:42:49","13-Sep-17 23:39:00","3372.00","1531.18"," 45.41"," 1124"," -256"
"nu80310246001/FPMA","14-Sep-17 00:19:29","14-Sep-17 01:14:59","3331.00"," 440.49"," 13.22"," 1095"," -281"
"nu80310246001/FPMB","14-Sep-17 00:19:29","14-Sep-17 01:14:59","3331.00"," 481.63"," 14.46"," 1136"," -256"
