NS ID,Start Time,End Time,On Time [s],Duration [s],Livetime [%],X [S/C],Y [S/C]
"nu20101015001","22-Apr-16 17:11:10","22-Apr-16 17:19:59",530.000,61.1669,11.5409,281.453,264.247
"nu20101016001","22-Apr-16 21:06:06","22-Apr-16 21:09:06",179.000,14.4896,8.09473,325.699,256.872
"nu20101017001","22-Apr-16 17:20:59","22-Apr-16 18:11:22",2171.00,142.507,6.56410,1087.71,148.715
"nu20101018001","22-Apr-16 18:47:49","22-Apr-16 19:48:05",2918.00,290.599,9.95884,1195.87,124.134
"nu20101019001","22-Apr-16 20:24:32","22-Apr-16 21:04:59",2428.00,221.245,9.11221,1183.58,126.593
"nu20101020001","22-Apr-16 22:01:15","22-Apr-16 23:01:30",3615.00,298.981,8.27056,1190.95,126.593
