NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu90810201001/FPMA","06-Sep-22 15:44:01","06-Sep-22 16:43:26","3566.00","   5.18","  0.15"," 1072"," -291"
"nu90810201001/FPMB","06-Sep-22 15:44:01","06-Sep-22 16:43:26","3566.00","   6.58","  0.18"," 1060"," -259"
"nu90810202001/FPMA","06-Sep-22 17:20:34","06-Sep-22 18:13:42","2893.00","   6.49","  0.22"," 1063"," -301"
"nu90810202001/FPMB","06-Sep-22 17:20:34","06-Sep-22 18:13:42","2893.00","   8.62","  0.30"," 1050"," -254"
"nu90810203001/FPMA","06-Sep-22 18:57:08","06-Sep-22 19:56:33","2761.00","   6.35","  0.23"," 1080"," -291"
"nu90810203001/FPMB","06-Sep-22 18:57:08","06-Sep-22 19:56:33","2761.00","   8.29","  0.30"," 1063"," -261"
"nu90810204001/FPMA","06-Sep-22 20:33:41","06-Sep-22 21:33:07","3563.00","   5.97","  0.17"," 1053"," -293"
"nu90810204001/FPMB","06-Sep-22 20:33:41","06-Sep-22 21:33:07","3563.00","   7.13","  0.20"," 1050"," -254"
