NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20010001001/FPMA","10-Sep-14 21:43:30","10-Sep-14 21:45:55"," 146.00","   0.33","  0.23"," -768"," -382"
"nu20010001001/FPMB","10-Sep-14 21:43:30","10-Sep-14 21:45:56"," 146.00","   0.28","  0.19"," -809"," -384"
"nu20010002001/FPMA","10-Sep-14 21:46:50","10-Sep-14 21:49:47"," 178.00","   0.34","  0.19","-1186","   23"
"nu20010002001/FPMB","10-Sep-14 21:46:50","10-Sep-14 21:49:48"," 178.00","   0.32","  0.18","-1240","   33"
"nu20010003001/FPMA","10-Sep-14 21:50:41","10-Sep-14 21:53:39"," 179.00","   0.28","  0.16","-1594","  409"
"nu20010003001/FPMB","10-Sep-14 21:50:41","10-Sep-14 21:53:39"," 179.00","   0.28","  0.16","-1640","  419"
"nu20010004001/FPMA","10-Sep-14 21:54:32","10-Sep-14 21:57:28"," 176.00","   0.57","  0.32","-2011","   38"
"nu20010004001/FPMB","10-Sep-14 21:54:32","10-Sep-14 21:57:27"," 176.00","   0.42","  0.24","-2063","   45"
"nu20010005001/FPMA","10-Sep-14 21:58:23","10-Sep-14 22:01:19"," 177.00","   0.28","  0.16","-1616"," -382"
"nu20010005001/FPMB","10-Sep-14 21:58:23","10-Sep-14 22:01:19"," 177.00","   0.27","  0.15","-1662"," -382"
"nu20010006001/FPMA","10-Sep-14 22:02:14","10-Sep-14 22:05:11"," 178.00","   0.30","  0.17","-1198"," -773"
"nu20010006001/FPMB","10-Sep-14 22:02:14","10-Sep-14 22:05:11"," 178.00","   0.29","  0.17","-1252"," -780"
"nu20010007001/FPMA","10-Sep-14 22:06:05","10-Sep-14 22:09:03"," 179.00","   0.31","  0.17"," -795","-1154"
"nu20010007001/FPMB","10-Sep-14 22:06:05","10-Sep-14 22:09:03"," 179.00","   0.30","  0.17"," -854","-1161"
"nu20010008001/FPMA","10-Sep-14 22:09:57","10-Sep-14 22:12:51"," 175.00","   0.32","  0.18"," -384"," -726"
"nu20010008001/FPMB","10-Sep-14 22:09:57","10-Sep-14 22:12:51"," 175.00","   0.29","  0.16"," -421"," -733"
"nu20010011001/FPMA","10-Sep-14 22:21:29","10-Sep-14 22:24:27"," 179.00","   0.25","  0.14"," -763","  416"
"nu20010011001/FPMB","10-Sep-14 22:21:29","10-Sep-14 22:24:27"," 179.00","   0.24","  0.13"," -807","  414"
"nu20010012001/FPMA","10-Sep-14 22:25:21","10-Sep-14 22:28:15"," 175.00","   0.26","  0.15","-1186","  809"
"nu20010012001/FPMB","10-Sep-14 22:25:21","10-Sep-14 22:28:15"," 175.00","   0.26","  0.15","-1235","  819"
"nu20010013001/FPMA","10-Sep-14 22:29:10","10-Sep-14 22:32:07"," 178.00","   0.27","  0.15"," -797"," 1215"
"nu20010013001/FPMB","10-Sep-14 22:29:10","10-Sep-14 22:32:07"," 178.00","   0.27","  0.15"," -836"," 1208"
"nu20010014001/FPMA","10-Sep-14 22:33:02","10-Sep-14 22:35:59"," 175.00","   0.24","  0.14"," -389","  790"
"nu20010014001/FPMB","10-Sep-14 22:33:02","10-Sep-14 22:35:59"," 175.00","   0.25","  0.14"," -446","  785"
"nu20011001001/FPMA","10-Sep-14 23:49:55","10-Sep-14 23:51:11","  77.00","   0.14","  0.18"," -721"," 1328"
"nu20011001001/FPMB","10-Sep-14 23:49:55","10-Sep-14 23:51:11","  77.00","   0.14","  0.18"," -773"," 1321"
"nu20011002001/FPMA","10-Sep-14 23:51:39","10-Sep-14 23:52:55","  77.00","   0.14","  0.18"," -736"," 1488"
"nu20011002001/FPMB","10-Sep-14 23:51:39","10-Sep-14 23:52:55","  77.00","   0.14","  0.18"," -777"," 1488"
"nu20011003001/FPMA","10-Sep-14 23:53:23","10-Sep-14 23:54:39","  77.00","   0.20","  0.26"," -726"," 1677"
"nu20011003001/FPMB","10-Sep-14 23:53:23","10-Sep-14 23:54:39","  77.00","   0.18","  0.24"," -763"," 1675"
"nu20011004001/FPMA","10-Sep-14 23:55:07","10-Sep-14 23:56:23","  77.00","   0.38","  0.50"," -723"," 1869"
"nu20011004001/FPMB","10-Sep-14 23:55:07","10-Sep-14 23:56:23","  77.00","   0.33","  0.43"," -768"," 1857"
"nu20011005001/FPMA","10-Sep-14 23:56:51","10-Sep-14 23:58:07","  77.00","   0.48","  0.63"," -731"," 2046"
"nu20011005001/FPMB","10-Sep-14 23:56:51","10-Sep-14 23:58:07","  77.00","   0.41","  0.53"," -773"," 2043"
"nu20011006001/FPMA","10-Sep-14 23:58:35","10-Sep-14 23:59:51","  77.00","   0.60","  0.77"," -723"," 2184"
"nu20011006001/FPMB","10-Sep-14 23:58:35","10-Sep-14 23:59:51","  77.00","   0.51","  0.67"," -785"," 2184"
