NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu80416201001/FPMA","12-Apr-19 15:12:56","12-Apr-19 16:12:45","2827.00","  56.55","  2.00"," -131","  129"
"nu80416201001/FPMB","12-Apr-19 15:12:56","12-Apr-19 16:12:45","2832.00","  75.25","  2.66","  -99","  163"
"nu80416202001/FPMA","12-Apr-19 16:49:35","12-Apr-19 17:49:24","2694.00","  38.48","  1.43"," -136","  129"
"nu80416202001/FPMB","12-Apr-19 16:49:35","12-Apr-19 17:49:24","2698.00","  50.51","  1.87","  -97","  161"
"nu80416203001/FPMA","12-Apr-19 18:26:15","12-Apr-19 19:26:04","2622.00","  22.85","  0.87"," -133","  126"
"nu80416203001/FPMB","12-Apr-19 18:26:15","12-Apr-19 19:26:04","2626.00","  29.52","  1.12","  -99","  158"
"nu80416204001/FPMA","12-Apr-19 20:02:54","12-Apr-19 20:46:21","2588.00","  24.40","  0.94"," -158","  129"
"nu80416204001/FPMB","12-Apr-19 20:02:54","12-Apr-19 20:46:24","2591.00","  30.82","  1.19"," -119","  165"
"nu80416205001/FPMA","12-Apr-19 21:39:33","12-Apr-19 22:30:20","1424.00","  20.97","  1.47"," -138","  131"
"nu80416205001/FPMB","12-Apr-19 21:39:33","12-Apr-19 22:30:24","1428.00","  27.03","  1.89"," -104","  163"
"nu80416208001/FPMA","13-Apr-19 02:29:30","13-Apr-19 03:29:20","3587.00","  34.99","  0.98"," -121","  129"
"nu80416208001/FPMB","13-Apr-19 02:29:30","13-Apr-19 03:29:20","3587.00","  42.27","  1.18","  -84","  168"
"nu80416209001/FPMA","13-Apr-19 04:06:10","13-Apr-19 05:06:00","3580.00","  34.32","  0.96"," -126","  133"
"nu80416209001/FPMB","13-Apr-19 04:06:10","13-Apr-19 05:06:00","3580.00","  38.32","  1.07","  -87","  163"
"nu80416210001/FPMA","13-Apr-19 05:42:48","13-Apr-19 06:39:24","3395.00","  18.31","  0.54","   18","  129"
"nu80416210001/FPMB","13-Apr-19 05:42:48","13-Apr-19 06:39:23","3395.00","  24.16","  0.71","   50","  163"
"nu80416211001/FPMA","13-Apr-19 07:19:27","13-Apr-19 08:19:18","3499.00","   7.22","  0.21","   23","  129"
"nu80416211001/FPMB","13-Apr-19 07:19:27","13-Apr-19 08:19:18","3499.00","   8.92","  0.25","   52","  165"
"nu80416212001/FPMA","13-Apr-19 08:56:06","13-Apr-19 09:55:57","3592.00","  29.83","  0.83","   15","  129"
"nu80416212001/FPMB","13-Apr-19 08:56:06","13-Apr-19 09:55:58","3592.00","  38.89","  1.08","   55","  163"
"nu80416213001/FPMA","13-Apr-19 10:32:46","13-Apr-19 11:32:37","3589.00","  54.36","  1.51","   18","  129"
"nu80416213001/FPMB","13-Apr-19 10:32:46","13-Apr-19 11:32:36","3589.00","  69.80","  1.94","   57","  165"
