NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20615001001/FPMA","29-Apr-21 14:53:47","29-Apr-21 15:54:07","2675.00","  62.51","  2.34","  886"," -310"
"nu20615001001/FPMB","29-Apr-21 14:53:47","29-Apr-21 15:54:07","2677.00","  79.15","  2.96","  888"," -266"
"nu20615002001/FPMA","29-Apr-21 16:30:25","29-Apr-21 17:30:46","2641.00","  53.96","  2.04","  891"," -310"
"nu20615002001/FPMB","29-Apr-21 16:30:25","29-Apr-21 17:30:46","2642.00","  66.09","  2.50","  895"," -271"
"nu20615003001/FPMA","29-Apr-21 18:07:03","29-Apr-21 19:07:24","2678.00","  35.14","  1.31","  861"," -308"
"nu20615003001/FPMB","29-Apr-21 18:07:03","29-Apr-21 19:07:24","2682.00","  45.62","  1.70","  876"," -274"
"nu20615004001/FPMA","29-Apr-21 19:43:41","29-Apr-21 20:44:02","2817.00","  22.11","  0.78","  871"," -313"
"nu20615004001/FPMB","29-Apr-21 19:43:41","29-Apr-21 20:44:02","2821.00","  28.02","  0.99","  876"," -274"
"nu20615005001/FPMA","29-Apr-21 21:20:19","29-Apr-21 22:16:44","3386.00","  40.38","  1.19","  881"," -313"
"nu20615005001/FPMB","29-Apr-21 21:20:19","29-Apr-21 22:16:48","3390.00","  48.08","  1.42","  893"," -266"
"nu20616001001/FPMA","03-May-21 15:31:50","03-May-21 16:32:14","2685.00"," 395.96"," 14.75","  524","  377"
"nu20616001001/FPMB","03-May-21 15:31:50","03-May-21 16:32:14","2689.00"," 258.46","  9.61","  544","  411"
"nu20616002001/FPMA","03-May-21 17:08:28","03-May-21 18:08:53","2782.00"," 329.03"," 11.83","  522","  379"
"nu20616002001/FPMB","03-May-21 17:08:28","03-May-21 18:08:52","2784.00"," 215.08","  7.73","  532","  401"
"nu20616003001/FPMA","03-May-21 18:45:14","03-May-21 19:45:37","3058.00"," 600.71"," 19.64"," -940"," -256"
"nu20616003001/FPMB","03-May-21 18:45:14","03-May-21 19:45:37","3059.00"," 490.37"," 16.03"," -913"," -222"
"nu20616004001/FPMA","03-May-21 20:21:52","03-May-21 21:22:15","3610.00"," 675.76"," 18.72"," -945"," -239"
"nu20616004001/FPMB","03-May-21 20:21:52","03-May-21 21:22:15","3610.00"," 557.31"," 15.44"," -918"," -215"
"nu20616005001/FPMA","03-May-21 21:58:30","03-May-21 22:58:53","3624.00"," 709.02"," 19.56"," -945"," -242"
"nu20616005001/FPMB","03-May-21 21:58:30","03-May-21 22:58:53","3624.00"," 575.67"," 15.88"," -923"," -212"
"nu20617001001/FPMA","07-May-21 14:33:15","07-May-21 15:22:18","2091.00"," 129.10","  6.17","  360","  839"
"nu20617001001/FPMB","07-May-21 14:33:15","07-May-21 15:22:18","2096.00"," 130.77","  6.24","  389","  866"
"nu20617002001/FPMA","07-May-21 16:11:13","07-May-21 17:10:08","2878.75"," 639.25"," 22.21","  782"," -281"
"nu20617002001/FPMB","07-May-21 16:11:13","07-May-21 17:10:08","2879.75"," 535.95"," 18.61","  812"," -256"
"nu20617003001/FPMA","07-May-21 17:46:36","07-May-21 18:46:51","2665.00","  61.21","  2.30"," -330"," -278"
"nu20617003001/FPMB","07-May-21 17:46:36","07-May-21 18:46:51","2665.00","  61.22","  2.30"," -306"," -251"
"nu20617004001/FPMA","07-May-21 19:23:14","07-May-21 20:23:29","3616.00","  15.57","  0.43"," -340"," -281"
"nu20617004001/FPMB","07-May-21 19:23:14","07-May-21 20:23:29","3616.00","  15.82","  0.44"," -315"," -254"
"nu20617005001/FPMA","07-May-21 20:59:54","07-May-21 22:00:10","3414.00","   4.16","  0.12"," -989","  306"
"nu20617005001/FPMB","07-May-21 20:59:54","07-May-21 22:00:10","3414.00","   3.54","  0.10"," -962","  333"
"nu20617006001/FPMA","07-May-21 22:36:32","07-May-21 23:36:47","3611.00","   7.14","  0.20"," -991","  306"
"nu20617006001/FPMB","07-May-21 22:36:32","07-May-21 23:36:47","3611.00","   6.55","  0.18"," -969","  337"
