NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu80410201001/FPMA","29-May-18 15:59:36","29-May-18 16:55:42","3365.99","  47.36","  1.41","   -1","  180"
"nu80410201001/FPMB","29-May-18 15:59:36","29-May-18 16:55:43","3365.99","  64.00","  1.90","   33","  215"
"nu80410202001/FPMA","29-May-18 17:32:18","29-May-18 18:32:22","3307.00","  52.21","  1.58","  -18","  180"
"nu80410202001/FPMB","29-May-18 17:32:18","29-May-18 18:32:22","3309.00","  68.29","  2.06","   15","  215"
"nu80410203001/FPMA","29-May-18 19:08:57","29-May-18 20:09:01","3080.00","  54.59","  1.77","  -18","  185"
"nu80410203001/FPMB","29-May-18 19:08:57","29-May-18 20:09:01","3085.00","  70.41","  2.28","   23","  217"
"nu80410204001/FPMA","29-May-18 20:45:37","29-May-18 21:15:59","1823.00","  35.98","  1.97","  -55","  178"
"nu80410204001/FPMB","29-May-18 20:45:37","29-May-18 21:15:59","1823.00","  43.55","  2.39","  -20","  212"
"nu80410206001/FPMA","29-May-18 21:16:56","29-May-18 21:37:42","1247.00"," 177.24"," 14.21","  679","  251"
"nu80410206001/FPMB","29-May-18 21:16:56","29-May-18 21:37:48","1253.00"," 144.93"," 11.57","  711","  286"
"nu80410205001/FPMA","29-May-18 22:22:16","29-May-18 22:51:31","1756.00","  45.39","  2.59","  -50","  178"
"nu80410205001/FPMB","29-May-18 22:22:16","29-May-18 22:51:31","1756.00","  53.05","  3.02","  -15","  215"
