NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu21014005001/FPMA","24-Dec-24 10:11:17","24-Dec-24 11:11:02","3586.00","   9.76","  0.27"," -313"," -178"
"nu21014005001/FPMB","24-Dec-24 10:11:17","24-Dec-24 11:11:02","3586.00","   8.08","  0.23"," -325"," -212"
"nu21014006001/FPMA","24-Dec-24 11:49:35","24-Dec-24 12:46:53","3586.00","  23.12","  0.64","  -45"," -148"
"nu21014006001/FPMB","24-Dec-24 11:47:08","24-Dec-24 12:46:53","3586.00","  23.19","  0.65"," -175"," -148"
"nu21014007001/FPMA","24-Dec-24 13:23:00","24-Dec-24 14:22:44","3583.00","  21.43","  0.60"," -247"," -170"
"nu21014007001/FPMB","24-Dec-24 13:23:00","24-Dec-24 14:22:44","3583.00","  19.19","  0.54"," -288"," -197"
"nu21014008001/FPMA","24-Dec-24 14:58:51","24-Dec-24 15:58:35","3585.00","  23.35","  0.65"," -229"," -183"
"nu21014008001/FPMB","24-Dec-24 14:58:51","24-Dec-24 15:58:36","3585.00","  22.97","  0.64"," -234"," -227"
